group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,anti/4,,,950864.0,ns,1093
Performance,Naive,anti/4,,,1903988.0,ns,2186
Performance,Naive,anti/4,,,3098736.0,ns,3279
Performance,Naive,anti/4,,,3799663.0,ns,4372
Performance,Naive,anti/4,,,4761936.0,ns,5465
Performance,Naive,anti/4,,,5934349.0,ns,6558
Performance,Naive,anti/4,,,6664575.0,ns,7651
Performance,Naive,anti/4,,,7788968.0,ns,8744
Performance,Naive,anti/4,,,8608144.0,ns,9837
Performance,Naive,anti/4,,,10198215.0,ns,10930
Performance,Naive,anti/4,,,11637682.0,ns,12023
Performance,Naive,anti/4,,,12043279.0,ns,13116
Performance,Naive,anti/4,,,12552750.0,ns,14209
Performance,Naive,anti/4,,,13440905.0,ns,15302
Performance,Naive,anti/4,,,14936322.0,ns,16395
Performance,Naive,anti/4,,,15409494.0,ns,17488
Performance,Naive,anti/4,,,16820320.0,ns,18581
Performance,Naive,anti/4,,,17474661.0,ns,19674
Performance,Naive,anti/4,,,18536695.0,ns,20767
Performance,Naive,anti/4,,,19757838.0,ns,21860
Performance,Naive,anti/4,,,20055367.0,ns,22953
Performance,Naive,anti/4,,,21278867.0,ns,24046
Performance,Naive,anti/4,,,22233314.0,ns,25139
Performance,Naive,anti/4,,,23163113.0,ns,26232
Performance,Naive,anti/4,,,24246967.0,ns,27325
Performance,Naive,anti/4,,,25158182.0,ns,28418
Performance,Naive,anti/4,,,26196027.0,ns,29511
Performance,Naive,anti/4,,,28618491.0,ns,30604
Performance,Naive,anti/4,,,29535610.0,ns,31697
Performance,Naive,anti/4,,,30673538.0,ns,32790
Performance,Naive,anti/4,,,31421680.0,ns,33883
Performance,Naive,anti/4,,,31292169.0,ns,34976
Performance,Naive,anti/4,,,32478762.0,ns,36069
Performance,Naive,anti/4,,,33067415.0,ns,37162
Performance,Naive,anti/4,,,33766050.0,ns,38255
Performance,Naive,anti/4,,,34525257.0,ns,39348
Performance,Naive,anti/4,,,35706174.0,ns,40441
Performance,Naive,anti/4,,,38748172.0,ns,41534
Performance,Naive,anti/4,,,39759129.0,ns,42627
Performance,Naive,anti/4,,,41607413.0,ns,43720
Performance,Naive,anti/4,,,41175730.0,ns,44813
Performance,Naive,anti/4,,,42221240.0,ns,45906
Performance,Naive,anti/4,,,42289524.0,ns,46999
Performance,Naive,anti/4,,,43468760.0,ns,48092
Performance,Naive,anti/4,,,44304234.0,ns,49185
Performance,Naive,anti/4,,,45097378.0,ns,50278
Performance,Naive,anti/4,,,46650655.0,ns,51371
Performance,Naive,anti/4,,,46997680.0,ns,52464
Performance,Naive,anti/4,,,47466288.0,ns,53557
Performance,Naive,anti/4,,,48091017.0,ns,54650
Performance,Naive,anti/4,,,49347854.0,ns,55743
Performance,Naive,anti/4,,,50360612.0,ns,56836
Performance,Naive,anti/4,,,54501160.0,ns,57929
Performance,Naive,anti/4,,,52486510.0,ns,59022
Performance,Naive,anti/4,,,53627786.0,ns,60115
Performance,Naive,anti/4,,,54062065.0,ns,61208
Performance,Naive,anti/4,,,55070782.0,ns,62301
Performance,Naive,anti/4,,,56130971.0,ns,63394
Performance,Naive,anti/4,,,57294963.0,ns,64487
Performance,Naive,anti/4,,,58234047.0,ns,65580
Performance,Naive,anti/4,,,58933627.0,ns,66673
Performance,Naive,anti/4,,,62021555.0,ns,67766
Performance,Naive,anti/4,,,61202583.0,ns,68859
Performance,Naive,anti/4,,,64588121.0,ns,69952
Performance,Naive,anti/4,,,62894754.0,ns,71045
Performance,Naive,anti/4,,,63935109.0,ns,72138
Performance,Naive,anti/4,,,68000765.0,ns,73231
Performance,Naive,anti/4,,,65653398.0,ns,74324
Performance,Naive,anti/4,,,67027170.0,ns,75417
Performance,Naive,anti/4,,,69724369.0,ns,76510
Performance,Naive,anti/4,,,68843279.0,ns,77603
Performance,Naive,anti/4,,,69918646.0,ns,78696
Performance,Naive,anti/4,,,71360147.0,ns,79789
Performance,Naive,anti/4,,,71603520.0,ns,80882
Performance,Naive,anti/4,,,72832562.0,ns,81975
Performance,Naive,anti/4,,,74065372.0,ns,83068
Performance,Naive,anti/4,,,77091063.0,ns,84161
Performance,Naive,anti/4,,,80555138.0,ns,85254
Performance,Naive,anti/4,,,76794662.0,ns,86347
Performance,Naive,anti/4,,,77154629.0,ns,87440
Performance,Naive,anti/4,,,79861283.0,ns,88533
Performance,Naive,anti/4,,,79395580.0,ns,89626
Performance,Naive,anti/4,,,83247881.0,ns,90719
Performance,Naive,anti/4,,,82551834.0,ns,91812
Performance,Naive,anti/4,,,84618054.0,ns,92905
Performance,Naive,anti/4,,,83216921.0,ns,93998
Performance,Naive,anti/4,,,84398804.0,ns,95091
Performance,Naive,anti/4,,,85395297.0,ns,96184
Performance,Naive,anti/4,,,89263392.0,ns,97277
Performance,Naive,anti/4,,,88718296.0,ns,98370
Performance,Naive,anti/4,,,88378149.0,ns,99463
Performance,Naive,anti/4,,,88956171.0,ns,100556
Performance,Naive,anti/4,,,89199094.0,ns,101649
Performance,Naive,anti/4,,,90940110.0,ns,102742
Performance,Naive,anti/4,,,93381931.0,ns,103835
Performance,Naive,anti/4,,,94826766.0,ns,104928
Performance,Naive,anti/4,,,94372936.0,ns,106021
Performance,Naive,anti/4,,,95932480.0,ns,107114
Performance,Naive,anti/4,,,95973571.0,ns,108207
Performance,Naive,anti/4,,,100014684.0,ns,109300
