group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,ca/2,,,982485.0,ns,428
Performance,Naive,ca/2,,,2017568.0,ns,856
Performance,Naive,ca/2,,,2924852.0,ns,1284
Performance,Naive,ca/2,,,3923909.0,ns,1712
Performance,Naive,ca/2,,,5141329.0,ns,2140
Performance,Naive,ca/2,,,5918290.0,ns,2568
Performance,Naive,ca/2,,,6892138.0,ns,2996
Performance,Naive,ca/2,,,8166456.0,ns,3424
Performance,Naive,ca/2,,,8822231.0,ns,3852
Performance,Naive,ca/2,,,9795092.0,ns,4280
Performance,Naive,ca/2,,,11323031.0,ns,4708
Performance,Naive,ca/2,,,12057224.0,ns,5136
Performance,Naive,ca/2,,,12767256.0,ns,5564
Performance,Naive,ca/2,,,14087454.0,ns,5992
Performance,Naive,ca/2,,,14475427.0,ns,6420
Performance,Naive,ca/2,,,15780836.0,ns,6848
Performance,Naive,ca/2,,,16931909.0,ns,7276
Performance,Naive,ca/2,,,17768749.0,ns,7704
Performance,Naive,ca/2,,,19465004.0,ns,8132
Performance,Naive,ca/2,,,19672633.0,ns,8560
Performance,Naive,ca/2,,,20793673.0,ns,8988
Performance,Naive,ca/2,,,23233765.0,ns,9416
Performance,Naive,ca/2,,,23316051.0,ns,9844
Performance,Naive,ca/2,,,24141298.0,ns,10272
Performance,Naive,ca/2,,,24557108.0,ns,10700
Performance,Naive,ca/2,,,25281539.0,ns,11128
Performance,Naive,ca/2,,,26474023.0,ns,11556
Performance,Naive,ca/2,,,26214084.0,ns,11984
Performance,Naive,ca/2,,,27405132.0,ns,12412
Performance,Naive,ca/2,,,29538806.0,ns,12840
Performance,Naive,ca/2,,,30606296.0,ns,13268
Performance,Naive,ca/2,,,31573391.0,ns,13696
Performance,Naive,ca/2,,,32591547.0,ns,14124
Performance,Naive,ca/2,,,34328122.0,ns,14552
Performance,Naive,ca/2,,,32960790.0,ns,14980
Performance,Naive,ca/2,,,34996074.0,ns,15408
Performance,Naive,ca/2,,,36454334.0,ns,15836
Performance,Naive,ca/2,,,37638808.0,ns,16264
Performance,Naive,ca/2,,,39051960.0,ns,16692
Performance,Naive,ca/2,,,38224918.0,ns,17120
Performance,Naive,ca/2,,,40671560.0,ns,17548
Performance,Naive,ca/2,,,41592492.0,ns,17976
Performance,Naive,ca/2,,,42830795.0,ns,18404
Performance,Naive,ca/2,,,43705275.0,ns,18832
Performance,Naive,ca/2,,,44489347.0,ns,19260
Performance,Naive,ca/2,,,44196706.0,ns,19688
Performance,Naive,ca/2,,,46468349.0,ns,20116
Performance,Naive,ca/2,,,45249615.0,ns,20544
Performance,Naive,ca/2,,,48991450.0,ns,20972
Performance,Naive,ca/2,,,51568375.0,ns,21400
Performance,Naive,ca/2,,,49782676.0,ns,21828
Performance,Naive,ca/2,,,52040606.0,ns,22256
Performance,Naive,ca/2,,,52140282.0,ns,22684
Performance,Naive,ca/2,,,51686716.0,ns,23112
Performance,Naive,ca/2,,,54165871.0,ns,23540
Performance,Naive,ca/2,,,55603209.0,ns,23968
Performance,Naive,ca/2,,,55810683.0,ns,24396
Performance,Naive,ca/2,,,57838594.0,ns,24824
Performance,Naive,ca/2,,,61634314.0,ns,25252
Performance,Naive,ca/2,,,78432915.0,ns,25680
Performance,Naive,ca/2,,,59492724.0,ns,26108
Performance,Naive,ca/2,,,62248275.0,ns,26536
Performance,Naive,ca/2,,,62328441.0,ns,26964
Performance,Naive,ca/2,,,67169975.0,ns,27392
Performance,Naive,ca/2,,,63704221.0,ns,27820
Performance,Naive,ca/2,,,65364103.0,ns,28248
Performance,Naive,ca/2,,,67807387.0,ns,28676
Performance,Naive,ca/2,,,66547615.0,ns,29104
Performance,Naive,ca/2,,,67596945.0,ns,29532
Performance,Naive,ca/2,,,68583879.0,ns,29960
Performance,Naive,ca/2,,,68126740.0,ns,30388
Performance,Naive,ca/2,,,70366736.0,ns,30816
Performance,Naive,ca/2,,,71837078.0,ns,31244
Performance,Naive,ca/2,,,73560191.0,ns,31672
Performance,Naive,ca/2,,,73323921.0,ns,32100
Performance,Naive,ca/2,,,75991393.0,ns,32528
Performance,Naive,ca/2,,,76370125.0,ns,32956
Performance,Naive,ca/2,,,77174681.0,ns,33384
Performance,Naive,ca/2,,,77064652.0,ns,33812
Performance,Naive,ca/2,,,79551369.0,ns,34240
Performance,Naive,ca/2,,,80466980.0,ns,34668
Performance,Naive,ca/2,,,78613373.0,ns,35096
Performance,Naive,ca/2,,,82610704.0,ns,35524
Performance,Naive,ca/2,,,82138968.0,ns,35952
Performance,Naive,ca/2,,,82049296.0,ns,36380
Performance,Naive,ca/2,,,83569115.0,ns,36808
Performance,Naive,ca/2,,,86634471.0,ns,37236
Performance,Naive,ca/2,,,87748581.0,ns,37664
Performance,Naive,ca/2,,,88816003.0,ns,38092
Performance,Naive,ca/2,,,89889519.0,ns,38520
Performance,Naive,ca/2,,,88841482.0,ns,38948
Performance,Naive,ca/2,,,91407732.0,ns,39376
Performance,Naive,ca/2,,,93787493.0,ns,39804
Performance,Naive,ca/2,,,91534228.0,ns,40232
Performance,Naive,ca/2,,,93511565.0,ns,40660
Performance,Naive,ca/2,,,94434600.0,ns,41088
Performance,Naive,ca/2,,,94982354.0,ns,41516
Performance,Naive,ca/2,,,99209088.0,ns,41944
Performance,Naive,ca/2,,,97734774.0,ns,42372
Performance,Naive,ca/2,,,99112127.0,ns,42800
