group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,di/2,,,98943109.0,ns,22
Performance,Naive,di/2,,,92031243.0,ns,22
Performance,Naive,di/2,,,57441723.0,ns,22
Performance,Naive,di/2,,,68577330.0,ns,22
Performance,Naive,di/2,,,55778358.0,ns,22
Performance,Naive,di/2,,,48715866.0,ns,22
Performance,Naive,di/2,,,50194663.0,ns,22
Performance,Naive,di/2,,,51808222.0,ns,22
Performance,Naive,di/2,,,49477910.0,ns,22
Performance,Naive,di/2,,,52129128.0,ns,22
Performance,Naive,di/2,,,62388671.0,ns,22
Performance,Naive,di/2,,,62463486.0,ns,22
Performance,Naive,di/2,,,71667760.0,ns,22
Performance,Naive,di/2,,,81928092.0,ns,22
Performance,Naive,di/2,,,61463324.0,ns,22
Performance,Naive,di/2,,,50693971.0,ns,22
Performance,Naive,di/2,,,56627469.0,ns,22
Performance,Naive,di/2,,,53323732.0,ns,22
Performance,Naive,di/2,,,48204569.0,ns,22
Performance,Naive,di/2,,,65574211.0,ns,22
Performance,Naive,di/2,,,63285879.0,ns,22
Performance,Naive,di/2,,,65023637.0,ns,22
Performance,Naive,di/2,,,69854849.0,ns,22
Performance,Naive,di/2,,,66354879.0,ns,22
Performance,Naive,di/2,,,49970622.0,ns,22
Performance,Naive,di/2,,,48770136.0,ns,22
Performance,Naive,di/2,,,52602285.0,ns,22
Performance,Naive,di/2,,,52058177.0,ns,22
Performance,Naive,di/2,,,66427722.0,ns,22
Performance,Naive,di/2,,,96504884.0,ns,22
Performance,Naive,di/2,,,89961914.0,ns,22
Performance,Naive,di/2,,,68048733.0,ns,22
Performance,Naive,di/2,,,53946921.0,ns,22
Performance,Naive,di/2,,,49235325.0,ns,22
Performance,Naive,di/2,,,52018960.0,ns,22
Performance,Naive,di/2,,,52169836.0,ns,22
Performance,Naive,di/2,,,46176264.0,ns,22
Performance,Naive,di/2,,,46494015.0,ns,22
Performance,Naive,di/2,,,44932550.0,ns,22
Performance,Naive,di/2,,,50218019.0,ns,22
Performance,Naive,di/2,,,53067561.0,ns,22
Performance,Naive,di/2,,,85843515.0,ns,22
Performance,Naive,di/2,,,87313005.0,ns,22
Performance,Naive,di/2,,,80350911.0,ns,22
Performance,Naive,di/2,,,57286973.0,ns,22
Performance,Naive,di/2,,,49809561.0,ns,22
Performance,Naive,di/2,,,53900207.0,ns,22
Performance,Naive,di/2,,,55381234.0,ns,22
Performance,Naive,di/2,,,47973037.0,ns,22
Performance,Naive,di/2,,,47006475.0,ns,22
Performance,Naive,di/2,,,47382388.0,ns,22
Performance,Naive,di/2,,,46485551.0,ns,22
Performance,Naive,di/2,,,46200691.0,ns,22
Performance,Naive,di/2,,,47525185.0,ns,22
Performance,Naive,di/2,,,47281909.0,ns,22
Performance,Naive,di/2,,,45633274.0,ns,22
Performance,Naive,di/2,,,45219379.0,ns,22
Performance,Naive,di/2,,,50047747.0,ns,22
Performance,Naive,di/2,,,46649668.0,ns,22
Performance,Naive,di/2,,,53126858.0,ns,22
Performance,Naive,di/2,,,46133875.0,ns,22
Performance,Naive,di/2,,,47667145.0,ns,22
Performance,Naive,di/2,,,45272739.0,ns,22
Performance,Naive,di/2,,,46400632.0,ns,22
Performance,Naive,di/2,,,46349474.0,ns,22
Performance,Naive,di/2,,,47091993.0,ns,22
Performance,Naive,di/2,,,47897688.0,ns,22
Performance,Naive,di/2,,,50360758.0,ns,22
Performance,Naive,di/2,,,49889327.0,ns,22
Performance,Naive,di/2,,,45852580.0,ns,22
Performance,Naive,di/2,,,45836432.0,ns,22
Performance,Naive,di/2,,,46343844.0,ns,22
Performance,Naive,di/2,,,46554815.0,ns,22
Performance,Naive,di/2,,,44930246.0,ns,22
Performance,Naive,di/2,,,45191730.0,ns,22
Performance,Naive,di/2,,,45820533.0,ns,22
Performance,Naive,di/2,,,45929065.0,ns,22
Performance,Naive,di/2,,,46697257.0,ns,22
Performance,Naive,di/2,,,49001610.0,ns,22
Performance,Naive,di/2,,,47234642.0,ns,22
Performance,Naive,di/2,,,47624804.0,ns,22
Performance,Naive,di/2,,,45913194.0,ns,22
Performance,Naive,di/2,,,46651220.0,ns,22
Performance,Naive,di/2,,,45861328.0,ns,22
Performance,Naive,di/2,,,46704903.0,ns,22
Performance,Naive,di/2,,,46502713.0,ns,22
Performance,Naive,di/2,,,44891955.0,ns,22
Performance,Naive,di/2,,,45500477.0,ns,22
Performance,Naive,di/2,,,45289015.0,ns,22
Performance,Naive,di/2,,,50586608.0,ns,22
Performance,Naive,di/2,,,46953541.0,ns,22
Performance,Naive,di/2,,,46864591.0,ns,22
Performance,Naive,di/2,,,46269857.0,ns,22
Performance,Naive,di/2,,,48769652.0,ns,22
Performance,Naive,di/2,,,49063140.0,ns,22
Performance,Naive,di/2,,,65041594.0,ns,22
Performance,Naive,di/2,,,83437436.0,ns,22
Performance,Naive,di/2,,,52189407.0,ns,22
Performance,Naive,di/2,,,54446649.0,ns,22
Performance,Naive,di/2,,,54775762.0,ns,22
