group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,imm/3,,,47406660.0,ns,20
Performance,Naive,imm/3,,,48868950.0,ns,20
Performance,Naive,imm/3,,,46085078.0,ns,20
Performance,Naive,imm/3,,,45977279.0,ns,20
Performance,Naive,imm/3,,,45081579.0,ns,20
Performance,Naive,imm/3,,,46764422.0,ns,20
Performance,Naive,imm/3,,,47785948.0,ns,20
Performance,Naive,imm/3,,,46441009.0,ns,20
Performance,Naive,imm/3,,,47592900.0,ns,20
Performance,Naive,imm/3,,,56091661.0,ns,20
Performance,Naive,imm/3,,,52735946.0,ns,20
Performance,Naive,imm/3,,,52043966.0,ns,20
Performance,Naive,imm/3,,,46445307.0,ns,20
Performance,Naive,imm/3,,,44151835.0,ns,20
Performance,Naive,imm/3,,,46251256.0,ns,20
Performance,Naive,imm/3,,,44038228.0,ns,20
Performance,Naive,imm/3,,,44790991.0,ns,20
Performance,Naive,imm/3,,,47503370.0,ns,20
Performance,Naive,imm/3,,,43826268.0,ns,20
Performance,Naive,imm/3,,,45032938.0,ns,20
Performance,Naive,imm/3,,,48157488.0,ns,20
Performance,Naive,imm/3,,,72085690.0,ns,20
Performance,Naive,imm/3,,,53830673.0,ns,20
Performance,Naive,imm/3,,,45642573.0,ns,20
Performance,Naive,imm/3,,,37930887.0,ns,20
Performance,Naive,imm/3,,,37068249.0,ns,20
Performance,Naive,imm/3,,,40996228.0,ns,20
Performance,Naive,imm/3,,,43299261.0,ns,20
Performance,Naive,imm/3,,,37680660.0,ns,20
Performance,Naive,imm/3,,,37142746.0,ns,20
Performance,Naive,imm/3,,,38510917.0,ns,20
Performance,Naive,imm/3,,,37297909.0,ns,20
Performance,Naive,imm/3,,,37643758.0,ns,20
Performance,Naive,imm/3,,,44610739.0,ns,20
Performance,Naive,imm/3,,,35705784.0,ns,20
Performance,Naive,imm/3,,,36139525.0,ns,20
Performance,Naive,imm/3,,,34901145.0,ns,20
Performance,Naive,imm/3,,,35005707.0,ns,20
Performance,Naive,imm/3,,,37670070.0,ns,20
Performance,Naive,imm/3,,,34536958.0,ns,20
Performance,Naive,imm/3,,,34844622.0,ns,20
Performance,Naive,imm/3,,,37880497.0,ns,20
Performance,Naive,imm/3,,,35335383.0,ns,20
Performance,Naive,imm/3,,,34813380.0,ns,20
Performance,Naive,imm/3,,,35101648.0,ns,20
Performance,Naive,imm/3,,,36096871.0,ns,20
Performance,Naive,imm/3,,,37542198.0,ns,20
Performance,Naive,imm/3,,,36601983.0,ns,20
Performance,Naive,imm/3,,,33733582.0,ns,20
Performance,Naive,imm/3,,,33892069.0,ns,20
Performance,Naive,imm/3,,,34468622.0,ns,20
Performance,Naive,imm/3,,,34041807.0,ns,20
Performance,Naive,imm/3,,,34275433.0,ns,20
Performance,Naive,imm/3,,,33892051.0,ns,20
Performance,Naive,imm/3,,,34552207.0,ns,20
Performance,Naive,imm/3,,,37010761.0,ns,20
Performance,Naive,imm/3,,,37448020.0,ns,20
Performance,Naive,imm/3,,,33983462.0,ns,20
Performance,Naive,imm/3,,,73305265.0,ns,20
Performance,Naive,imm/3,,,41846425.0,ns,20
Performance,Naive,imm/3,,,71503449.0,ns,20
Performance,Naive,imm/3,,,40030870.0,ns,20
Performance,Naive,imm/3,,,45137607.0,ns,20
Performance,Naive,imm/3,,,45077324.0,ns,20
Performance,Naive,imm/3,,,40292510.0,ns,20
Performance,Naive,imm/3,,,37909862.0,ns,20
Performance,Naive,imm/3,,,37510946.0,ns,20
Performance,Naive,imm/3,,,37193475.0,ns,20
Performance,Naive,imm/3,,,33693886.0,ns,20
Performance,Naive,imm/3,,,39823068.0,ns,20
Performance,Naive,imm/3,,,35262378.0,ns,20
Performance,Naive,imm/3,,,34840456.0,ns,20
Performance,Naive,imm/3,,,36251914.0,ns,20
Performance,Naive,imm/3,,,36224442.0,ns,20
Performance,Naive,imm/3,,,36400813.0,ns,20
Performance,Naive,imm/3,,,51352486.0,ns,20
Performance,Naive,imm/3,,,67205004.0,ns,20
Performance,Naive,imm/3,,,60963231.0,ns,20
Performance,Naive,imm/3,,,64548004.0,ns,20
Performance,Naive,imm/3,,,63843526.0,ns,20
Performance,Naive,imm/3,,,43727191.0,ns,20
Performance,Naive,imm/3,,,35920452.0,ns,20
Performance,Naive,imm/3,,,35311720.0,ns,20
Performance,Naive,imm/3,,,34301845.0,ns,20
Performance,Naive,imm/3,,,35527529.0,ns,20
Performance,Naive,imm/3,,,35986550.0,ns,20
Performance,Naive,imm/3,,,36090713.0,ns,20
Performance,Naive,imm/3,,,39788704.0,ns,20
Performance,Naive,imm/3,,,56757684.0,ns,20
Performance,Naive,imm/3,,,73930092.0,ns,20
Performance,Naive,imm/3,,,58174582.0,ns,20
Performance,Naive,imm/3,,,56428873.0,ns,20
Performance,Naive,imm/3,,,62861610.0,ns,20
Performance,Naive,imm/3,,,41407866.0,ns,20
Performance,Naive,imm/3,,,36254534.0,ns,20
Performance,Naive,imm/3,,,35136843.0,ns,20
Performance,Naive,imm/3,,,36443423.0,ns,20
Performance,Naive,imm/3,,,36254013.0,ns,20
Performance,Naive,imm/3,,,34244444.0,ns,20
Performance,Naive,imm/3,,,35138901.0,ns,20
