group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,impe/4,,,53257195.0,ns,21
Performance,Naive,impe/4,,,48401000.0,ns,21
Performance,Naive,impe/4,,,47356992.0,ns,21
Performance,Naive,impe/4,,,44978105.0,ns,21
Performance,Naive,impe/4,,,45936622.0,ns,21
Performance,Naive,impe/4,,,44700519.0,ns,21
Performance,Naive,impe/4,,,47086815.0,ns,21
Performance,Naive,impe/4,,,44553854.0,ns,21
Performance,Naive,impe/4,,,44536992.0,ns,21
Performance,Naive,impe/4,,,46178159.0,ns,21
Performance,Naive,impe/4,,,44586513.0,ns,21
Performance,Naive,impe/4,,,48385697.0,ns,21
Performance,Naive,impe/4,,,45866638.0,ns,21
Performance,Naive,impe/4,,,45910266.0,ns,21
Performance,Naive,impe/4,,,45259831.0,ns,21
Performance,Naive,impe/4,,,44194497.0,ns,21
Performance,Naive,impe/4,,,44702736.0,ns,21
Performance,Naive,impe/4,,,46366005.0,ns,21
Performance,Naive,impe/4,,,44602474.0,ns,21
Performance,Naive,impe/4,,,44377686.0,ns,21
Performance,Naive,impe/4,,,44758395.0,ns,21
Performance,Naive,impe/4,,,43005729.0,ns,21
Performance,Naive,impe/4,,,45553824.0,ns,21
Performance,Naive,impe/4,,,44964533.0,ns,21
Performance,Naive,impe/4,,,44468490.0,ns,21
Performance,Naive,impe/4,,,46212704.0,ns,21
Performance,Naive,impe/4,,,44669111.0,ns,21
Performance,Naive,impe/4,,,45398952.0,ns,21
Performance,Naive,impe/4,,,45488841.0,ns,21
Performance,Naive,impe/4,,,44846394.0,ns,21
Performance,Naive,impe/4,,,43773812.0,ns,21
Performance,Naive,impe/4,,,44942001.0,ns,21
Performance,Naive,impe/4,,,44154659.0,ns,21
Performance,Naive,impe/4,,,44255184.0,ns,21
Performance,Naive,impe/4,,,45468140.0,ns,21
Performance,Naive,impe/4,,,43799270.0,ns,21
Performance,Naive,impe/4,,,44407335.0,ns,21
Performance,Naive,impe/4,,,43754385.0,ns,21
Performance,Naive,impe/4,,,43254944.0,ns,21
Performance,Naive,impe/4,,,44917787.0,ns,21
Performance,Naive,impe/4,,,57292621.0,ns,21
Performance,Naive,impe/4,,,51310506.0,ns,21
Performance,Naive,impe/4,,,46577995.0,ns,21
Performance,Naive,impe/4,,,46607215.0,ns,21
Performance,Naive,impe/4,,,48856274.0,ns,21
Performance,Naive,impe/4,,,45910142.0,ns,21
Performance,Naive,impe/4,,,50895742.0,ns,21
Performance,Naive,impe/4,,,46346026.0,ns,21
Performance,Naive,impe/4,,,45652198.0,ns,21
Performance,Naive,impe/4,,,48735627.0,ns,21
Performance,Naive,impe/4,,,47337458.0,ns,21
Performance,Naive,impe/4,,,47611079.0,ns,21
Performance,Naive,impe/4,,,45124108.0,ns,21
Performance,Naive,impe/4,,,45352865.0,ns,21
Performance,Naive,impe/4,,,48979130.0,ns,21
Performance,Naive,impe/4,,,45124261.0,ns,21
Performance,Naive,impe/4,,,47271008.0,ns,21
Performance,Naive,impe/4,,,46138247.0,ns,21
Performance,Naive,impe/4,,,45746672.0,ns,21
Performance,Naive,impe/4,,,47194340.0,ns,21
Performance,Naive,impe/4,,,45353530.0,ns,21
Performance,Naive,impe/4,,,49986344.0,ns,21
Performance,Naive,impe/4,,,46013869.0,ns,21
Performance,Naive,impe/4,,,47295319.0,ns,21
Performance,Naive,impe/4,,,96272289.0,ns,21
Performance,Naive,impe/4,,,106935703.0,ns,21
Performance,Naive,impe/4,,,70207125.0,ns,21
Performance,Naive,impe/4,,,79579244.0,ns,21
Performance,Naive,impe/4,,,75292156.0,ns,21
Performance,Naive,impe/4,,,69898045.0,ns,21
Performance,Naive,impe/4,,,64949206.0,ns,21
Performance,Naive,impe/4,,,67460284.0,ns,21
Performance,Naive,impe/4,,,61469649.0,ns,21
Performance,Naive,impe/4,,,51163126.0,ns,21
Performance,Naive,impe/4,,,54123780.0,ns,21
Performance,Naive,impe/4,,,53430645.0,ns,21
Performance,Naive,impe/4,,,60205551.0,ns,21
Performance,Naive,impe/4,,,52199574.0,ns,21
Performance,Naive,impe/4,,,48728118.0,ns,21
Performance,Naive,impe/4,,,57310965.0,ns,21
Performance,Naive,impe/4,,,62651275.0,ns,21
Performance,Naive,impe/4,,,72131565.0,ns,21
Performance,Naive,impe/4,,,65702988.0,ns,21
Performance,Naive,impe/4,,,49741041.0,ns,21
Performance,Naive,impe/4,,,52188717.0,ns,21
Performance,Naive,impe/4,,,53324613.0,ns,21
Performance,Naive,impe/4,,,47148500.0,ns,21
Performance,Naive,impe/4,,,45427541.0,ns,21
Performance,Naive,impe/4,,,50975107.0,ns,21
Performance,Naive,impe/4,,,59663417.0,ns,21
Performance,Naive,impe/4,,,58039973.0,ns,21
Performance,Naive,impe/4,,,52979859.0,ns,21
Performance,Naive,impe/4,,,55818531.0,ns,21
Performance,Naive,impe/4,,,51441482.0,ns,21
Performance,Naive,impe/4,,,55948686.0,ns,21
Performance,Naive,impe/4,,,52942965.0,ns,21
Performance,Naive,impe/4,,,64591325.0,ns,21
Performance,Naive,impe/4,,,66294451.0,ns,21
Performance,Naive,impe/4,,,59778588.0,ns,21
Performance,Naive,impe/4,,,63425535.0,ns,21
