group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,in/2,,,79109273.0,ns,22
Performance,Naive,in/2,,,95104862.0,ns,22
Performance,Naive,in/2,,,81033950.0,ns,22
Performance,Naive,in/2,,,54401849.0,ns,22
Performance,Naive,in/2,,,52185237.0,ns,22
Performance,Naive,in/2,,,51052737.0,ns,22
Performance,Naive,in/2,,,54458268.0,ns,22
Performance,Naive,in/2,,,52757629.0,ns,22
Performance,Naive,in/2,,,50063950.0,ns,22
Performance,Naive,in/2,,,51131108.0,ns,22
Performance,Naive,in/2,,,52023786.0,ns,22
Performance,Naive,in/2,,,50891841.0,ns,22
Performance,Naive,in/2,,,47928793.0,ns,22
Performance,Naive,in/2,,,47701519.0,ns,22
Performance,Naive,in/2,,,48982646.0,ns,22
Performance,Naive,in/2,,,48796699.0,ns,22
Performance,Naive,in/2,,,51009288.0,ns,22
Performance,Naive,in/2,,,48682383.0,ns,22
Performance,Naive,in/2,,,49235315.0,ns,22
Performance,Naive,in/2,,,51111197.0,ns,22
Performance,Naive,in/2,,,57401288.0,ns,22
Performance,Naive,in/2,,,78831384.0,ns,22
Performance,Naive,in/2,,,99680180.0,ns,22
Performance,Naive,in/2,,,69799923.0,ns,22
Performance,Naive,in/2,,,53505916.0,ns,22
Performance,Naive,in/2,,,51847692.0,ns,22
Performance,Naive,in/2,,,50668280.0,ns,22
Performance,Naive,in/2,,,51300314.0,ns,22
Performance,Naive,in/2,,,52084482.0,ns,22
Performance,Naive,in/2,,,51304237.0,ns,22
Performance,Naive,in/2,,,49467416.0,ns,22
Performance,Naive,in/2,,,50735855.0,ns,22
Performance,Naive,in/2,,,53096681.0,ns,22
Performance,Naive,in/2,,,54428874.0,ns,22
Performance,Naive,in/2,,,52698211.0,ns,22
Performance,Naive,in/2,,,50551373.0,ns,22
Performance,Naive,in/2,,,50109322.0,ns,22
Performance,Naive,in/2,,,49063972.0,ns,22
Performance,Naive,in/2,,,50409737.0,ns,22
Performance,Naive,in/2,,,48887704.0,ns,22
Performance,Naive,in/2,,,49319506.0,ns,22
Performance,Naive,in/2,,,50523017.0,ns,22
Performance,Naive,in/2,,,76623311.0,ns,22
Performance,Naive,in/2,,,99720883.0,ns,22
Performance,Naive,in/2,,,91814062.0,ns,22
Performance,Naive,in/2,,,58998320.0,ns,22
Performance,Naive,in/2,,,49710607.0,ns,22
Performance,Naive,in/2,,,48946116.0,ns,22
Performance,Naive,in/2,,,50527176.0,ns,22
Performance,Naive,in/2,,,50827947.0,ns,22
Performance,Naive,in/2,,,50083490.0,ns,22
Performance,Naive,in/2,,,49860806.0,ns,22
Performance,Naive,in/2,,,50939401.0,ns,22
Performance,Naive,in/2,,,51131782.0,ns,22
Performance,Naive,in/2,,,52344466.0,ns,22
Performance,Naive,in/2,,,48812131.0,ns,22
Performance,Naive,in/2,,,49069394.0,ns,22
Performance,Naive,in/2,,,51384148.0,ns,22
Performance,Naive,in/2,,,75282957.0,ns,22
Performance,Naive,in/2,,,104686108.0,ns,22
Performance,Naive,in/2,,,105506873.0,ns,22
Performance,Naive,in/2,,,76463444.0,ns,22
Performance,Naive,in/2,,,101824374.0,ns,22
Performance,Naive,in/2,,,109245962.0,ns,22
Performance,Naive,in/2,,,109136827.0,ns,22
Performance,Naive,in/2,,,83065446.0,ns,22
Performance,Naive,in/2,,,54267474.0,ns,22
Performance,Naive,in/2,,,50128448.0,ns,22
Performance,Naive,in/2,,,49876003.0,ns,22
Performance,Naive,in/2,,,76062476.0,ns,22
Performance,Naive,in/2,,,115135537.0,ns,22
Performance,Naive,in/2,,,112470641.0,ns,22
Performance,Naive,in/2,,,82609386.0,ns,22
Performance,Naive,in/2,,,57411914.0,ns,22
Performance,Naive,in/2,,,50461655.0,ns,22
Performance,Naive,in/2,,,49564645.0,ns,22
Performance,Naive,in/2,,,48067054.0,ns,22
Performance,Naive,in/2,,,50021279.0,ns,22
Performance,Naive,in/2,,,58823991.0,ns,22
Performance,Naive,in/2,,,100928975.0,ns,22
Performance,Naive,in/2,,,91604149.0,ns,22
Performance,Naive,in/2,,,113295644.0,ns,22
Performance,Naive,in/2,,,116344623.0,ns,22
Performance,Naive,in/2,,,107827054.0,ns,22
Performance,Naive,in/2,,,118397889.0,ns,22
Performance,Naive,in/2,,,85691026.0,ns,22
Performance,Naive,in/2,,,52629934.0,ns,22
Performance,Naive,in/2,,,52317967.0,ns,22
Performance,Naive,in/2,,,51536709.0,ns,22
Performance,Naive,in/2,,,51343681.0,ns,22
Performance,Naive,in/2,,,47586997.0,ns,22
Performance,Naive,in/2,,,48243754.0,ns,22
Performance,Naive,in/2,,,47574881.0,ns,22
Performance,Naive,in/2,,,49468651.0,ns,22
Performance,Naive,in/2,,,52932172.0,ns,22
Performance,Naive,in/2,,,48461012.0,ns,22
Performance,Naive,in/2,,,47842753.0,ns,22
Performance,Naive,in/2,,,48212157.0,ns,22
Performance,Naive,in/2,,,47139929.0,ns,22
Performance,Naive,in/2,,,54713264.0,ns,22
