group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,mid/3,,,62216035.0,ns,20
Performance,Naive,mid/3,,,59805873.0,ns,20
Performance,Naive,mid/3,,,48022864.0,ns,20
Performance,Naive,mid/3,,,48610838.0,ns,20
Performance,Naive,mid/3,,,60510101.0,ns,20
Performance,Naive,mid/3,,,50697346.0,ns,20
Performance,Naive,mid/3,,,53095773.0,ns,20
Performance,Naive,mid/3,,,50621814.0,ns,20
Performance,Naive,mid/3,,,52802428.0,ns,20
Performance,Naive,mid/3,,,50403036.0,ns,20
Performance,Naive,mid/3,,,53633672.0,ns,20
Performance,Naive,mid/3,,,49385127.0,ns,20
Performance,Naive,mid/3,,,53304729.0,ns,20
Performance,Naive,mid/3,,,47611986.0,ns,20
Performance,Naive,mid/3,,,50387235.0,ns,20
Performance,Naive,mid/3,,,47939480.0,ns,20
Performance,Naive,mid/3,,,48949182.0,ns,20
Performance,Naive,mid/3,,,48996092.0,ns,20
Performance,Naive,mid/3,,,51692342.0,ns,20
Performance,Naive,mid/3,,,48321490.0,ns,20
Performance,Naive,mid/3,,,49391036.0,ns,20
Performance,Naive,mid/3,,,48595885.0,ns,20
Performance,Naive,mid/3,,,48406669.0,ns,20
Performance,Naive,mid/3,,,49686748.0,ns,20
Performance,Naive,mid/3,,,48478502.0,ns,20
Performance,Naive,mid/3,,,48312681.0,ns,20
Performance,Naive,mid/3,,,45713446.0,ns,20
Performance,Naive,mid/3,,,45437754.0,ns,20
Performance,Naive,mid/3,,,45713487.0,ns,20
Performance,Naive,mid/3,,,45741601.0,ns,20
Performance,Naive,mid/3,,,44554388.0,ns,20
Performance,Naive,mid/3,,,46832598.0,ns,20
Performance,Naive,mid/3,,,46239688.0,ns,20
Performance,Naive,mid/3,,,44992315.0,ns,20
Performance,Naive,mid/3,,,46396131.0,ns,20
Performance,Naive,mid/3,,,45597967.0,ns,20
Performance,Naive,mid/3,,,45052031.0,ns,20
Performance,Naive,mid/3,,,45580205.0,ns,20
Performance,Naive,mid/3,,,45861796.0,ns,20
Performance,Naive,mid/3,,,43768588.0,ns,20
Performance,Naive,mid/3,,,46303477.0,ns,20
Performance,Naive,mid/3,,,43744313.0,ns,20
Performance,Naive,mid/3,,,43922507.0,ns,20
Performance,Naive,mid/3,,,45545004.0,ns,20
Performance,Naive,mid/3,,,45272713.0,ns,20
Performance,Naive,mid/3,,,46735669.0,ns,20
Performance,Naive,mid/3,,,43898961.0,ns,20
Performance,Naive,mid/3,,,43185705.0,ns,20
Performance,Naive,mid/3,,,45745334.0,ns,20
Performance,Naive,mid/3,,,46090243.0,ns,20
Performance,Naive,mid/3,,,44823063.0,ns,20
Performance,Naive,mid/3,,,46425886.0,ns,20
Performance,Naive,mid/3,,,44242278.0,ns,20
Performance,Naive,mid/3,,,43464594.0,ns,20
Performance,Naive,mid/3,,,44659165.0,ns,20
Performance,Naive,mid/3,,,44045707.0,ns,20
Performance,Naive,mid/3,,,44087378.0,ns,20
Performance,Naive,mid/3,,,45719604.0,ns,20
Performance,Naive,mid/3,,,43378097.0,ns,20
Performance,Naive,mid/3,,,44004713.0,ns,20
Performance,Naive,mid/3,,,44266451.0,ns,20
Performance,Naive,mid/3,,,43833134.0,ns,20
Performance,Naive,mid/3,,,47411711.0,ns,20
Performance,Naive,mid/3,,,44799321.0,ns,20
Performance,Naive,mid/3,,,43539531.0,ns,20
Performance,Naive,mid/3,,,43533267.0,ns,20
Performance,Naive,mid/3,,,46059111.0,ns,20
Performance,Naive,mid/3,,,45477155.0,ns,20
Performance,Naive,mid/3,,,46380791.0,ns,20
Performance,Naive,mid/3,,,45860179.0,ns,20
Performance,Naive,mid/3,,,44213016.0,ns,20
Performance,Naive,mid/3,,,43800385.0,ns,20
Performance,Naive,mid/3,,,43659777.0,ns,20
Performance,Naive,mid/3,,,45864845.0,ns,20
Performance,Naive,mid/3,,,45123282.0,ns,20
Performance,Naive,mid/3,,,45140552.0,ns,20
Performance,Naive,mid/3,,,45916728.0,ns,20
Performance,Naive,mid/3,,,47366804.0,ns,20
Performance,Naive,mid/3,,,43439881.0,ns,20
Performance,Naive,mid/3,,,45558709.0,ns,20
Performance,Naive,mid/3,,,45925113.0,ns,20
Performance,Naive,mid/3,,,45126258.0,ns,20
Performance,Naive,mid/3,,,50951835.0,ns,20
Performance,Naive,mid/3,,,43890097.0,ns,20
Performance,Naive,mid/3,,,47377715.0,ns,20
Performance,Naive,mid/3,,,45109844.0,ns,20
Performance,Naive,mid/3,,,44767639.0,ns,20
Performance,Naive,mid/3,,,43199844.0,ns,20
Performance,Naive,mid/3,,,44773771.0,ns,20
Performance,Naive,mid/3,,,45822615.0,ns,20
Performance,Naive,mid/3,,,44552390.0,ns,20
Performance,Naive,mid/3,,,45352699.0,ns,20
Performance,Naive,mid/3,,,45929658.0,ns,20
Performance,Naive,mid/3,,,45010795.0,ns,20
Performance,Naive,mid/3,,,44852017.0,ns,20
Performance,Naive,mid/3,,,44299394.0,ns,20
Performance,Naive,mid/3,,,45641948.0,ns,20
Performance,Naive,mid/3,,,44741837.0,ns,20
Performance,Naive,mid/3,,,43844942.0,ns,20
Performance,Naive,mid/3,,,45016982.0,ns,20
