group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,non/3,,,43569080.0,ns,20
Performance,Naive,non/3,,,42723579.0,ns,20
Performance,Naive,non/3,,,43831581.0,ns,20
Performance,Naive,non/3,,,43738216.0,ns,20
Performance,Naive,non/3,,,46534925.0,ns,20
Performance,Naive,non/3,,,47348675.0,ns,20
Performance,Naive,non/3,,,48851186.0,ns,20
Performance,Naive,non/3,,,55251673.0,ns,20
Performance,Naive,non/3,,,46829376.0,ns,20
Performance,Naive,non/3,,,55049265.0,ns,20
Performance,Naive,non/3,,,45877133.0,ns,20
Performance,Naive,non/3,,,47680548.0,ns,20
Performance,Naive,non/3,,,44574597.0,ns,20
Performance,Naive,non/3,,,54594555.0,ns,20
Performance,Naive,non/3,,,46117870.0,ns,20
Performance,Naive,non/3,,,56378340.0,ns,20
Performance,Naive,non/3,,,61156440.0,ns,20
Performance,Naive,non/3,,,46063022.0,ns,20
Performance,Naive,non/3,,,42522831.0,ns,20
Performance,Naive,non/3,,,55654861.0,ns,20
Performance,Naive,non/3,,,44506841.0,ns,20
Performance,Naive,non/3,,,44056959.0,ns,20
Performance,Naive,non/3,,,56684664.0,ns,20
Performance,Naive,non/3,,,59302798.0,ns,20
Performance,Naive,non/3,,,48201789.0,ns,20
Performance,Naive,non/3,,,47192306.0,ns,20
Performance,Naive,non/3,,,45310731.0,ns,20
Performance,Naive,non/3,,,53897203.0,ns,20
Performance,Naive,non/3,,,52982367.0,ns,20
Performance,Naive,non/3,,,44901603.0,ns,20
Performance,Naive,non/3,,,53366283.0,ns,20
Performance,Naive,non/3,,,49088257.0,ns,20
Performance,Naive,non/3,,,52318114.0,ns,20
Performance,Naive,non/3,,,50230161.0,ns,20
Performance,Naive,non/3,,,46556424.0,ns,20
Performance,Naive,non/3,,,50200314.0,ns,20
Performance,Naive,non/3,,,50142667.0,ns,20
Performance,Naive,non/3,,,45667377.0,ns,20
Performance,Naive,non/3,,,58204447.0,ns,20
Performance,Naive,non/3,,,46569086.0,ns,20
Performance,Naive,non/3,,,58374987.0,ns,20
Performance,Naive,non/3,,,50316547.0,ns,20
Performance,Naive,non/3,,,47209112.0,ns,20
Performance,Naive,non/3,,,59251058.0,ns,20
Performance,Naive,non/3,,,46849113.0,ns,20
Performance,Naive,non/3,,,59314529.0,ns,20
Performance,Naive,non/3,,,52695016.0,ns,20
Performance,Naive,non/3,,,57310190.0,ns,20
Performance,Naive,non/3,,,49285643.0,ns,20
Performance,Naive,non/3,,,46602101.0,ns,20
Performance,Naive,non/3,,,61319736.0,ns,20
Performance,Naive,non/3,,,51920232.0,ns,20
Performance,Naive,non/3,,,46541877.0,ns,20
Performance,Naive,non/3,,,47215850.0,ns,20
Performance,Naive,non/3,,,45453099.0,ns,20
Performance,Naive,non/3,,,46801145.0,ns,20
Performance,Naive,non/3,,,47504810.0,ns,20
Performance,Naive,non/3,,,62890422.0,ns,20
Performance,Naive,non/3,,,57697275.0,ns,20
Performance,Naive,non/3,,,49536395.0,ns,20
Performance,Naive,non/3,,,45461903.0,ns,20
Performance,Naive,non/3,,,48538537.0,ns,20
Performance,Naive,non/3,,,48859936.0,ns,20
Performance,Naive,non/3,,,48135575.0,ns,20
Performance,Naive,non/3,,,54548645.0,ns,20
Performance,Naive,non/3,,,53636541.0,ns,20
Performance,Naive,non/3,,,44271204.0,ns,20
Performance,Naive,non/3,,,53079929.0,ns,20
Performance,Naive,non/3,,,45695392.0,ns,20
Performance,Naive,non/3,,,43950841.0,ns,20
Performance,Naive,non/3,,,45797124.0,ns,20
Performance,Naive,non/3,,,44683617.0,ns,20
Performance,Naive,non/3,,,45454298.0,ns,20
Performance,Naive,non/3,,,46543780.0,ns,20
Performance,Naive,non/3,,,44180829.0,ns,20
Performance,Naive,non/3,,,42395568.0,ns,20
Performance,Naive,non/3,,,44941906.0,ns,20
Performance,Naive,non/3,,,43208038.0,ns,20
Performance,Naive,non/3,,,53437953.0,ns,20
Performance,Naive,non/3,,,46262469.0,ns,20
Performance,Naive,non/3,,,44626085.0,ns,20
Performance,Naive,non/3,,,41318822.0,ns,20
Performance,Naive,non/3,,,40887818.0,ns,20
Performance,Naive,non/3,,,41077345.0,ns,20
Performance,Naive,non/3,,,42292957.0,ns,20
Performance,Naive,non/3,,,43653179.0,ns,20
Performance,Naive,non/3,,,44521077.0,ns,20
Performance,Naive,non/3,,,44870268.0,ns,20
Performance,Naive,non/3,,,42931683.0,ns,20
Performance,Naive,non/3,,,46875667.0,ns,20
Performance,Naive,non/3,,,45708825.0,ns,20
Performance,Naive,non/3,,,41861368.0,ns,20
Performance,Naive,non/3,,,42082558.0,ns,20
Performance,Naive,non/3,,,41869167.0,ns,20
Performance,Naive,non/3,,,43167749.0,ns,20
Performance,Naive,non/3,,,42021556.0,ns,20
Performance,Naive,non/3,,,54092486.0,ns,20
Performance,Naive,non/3,,,47322273.0,ns,20
Performance,Naive,non/3,,,42469269.0,ns,20
Performance,Naive,non/3,,,41415541.0,ns,20
