group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,over/4,,,48684564.0,ns,22
Performance,Naive,over/4,,,54128714.0,ns,22
Performance,Naive,over/4,,,45426010.0,ns,22
Performance,Naive,over/4,,,46092585.0,ns,22
Performance,Naive,over/4,,,46819116.0,ns,22
Performance,Naive,over/4,,,46300505.0,ns,22
Performance,Naive,over/4,,,44977057.0,ns,22
Performance,Naive,over/4,,,47480437.0,ns,22
Performance,Naive,over/4,,,45395177.0,ns,22
Performance,Naive,over/4,,,47374303.0,ns,22
Performance,Naive,over/4,,,47180356.0,ns,22
Performance,Naive,over/4,,,48074756.0,ns,22
Performance,Naive,over/4,,,46223038.0,ns,22
Performance,Naive,over/4,,,45243231.0,ns,22
Performance,Naive,over/4,,,44316521.0,ns,22
Performance,Naive,over/4,,,44929555.0,ns,22
Performance,Naive,over/4,,,45831108.0,ns,22
Performance,Naive,over/4,,,44816927.0,ns,22
Performance,Naive,over/4,,,44976429.0,ns,22
Performance,Naive,over/4,,,45478457.0,ns,22
Performance,Naive,over/4,,,45608581.0,ns,22
Performance,Naive,over/4,,,45995393.0,ns,22
Performance,Naive,over/4,,,47046632.0,ns,22
Performance,Naive,over/4,,,45658963.0,ns,22
Performance,Naive,over/4,,,47423531.0,ns,22
Performance,Naive,over/4,,,56443904.0,ns,22
Performance,Naive,over/4,,,55423437.0,ns,22
Performance,Naive,over/4,,,53920891.0,ns,22
Performance,Naive,over/4,,,53991689.0,ns,22
Performance,Naive,over/4,,,54912925.0,ns,22
Performance,Naive,over/4,,,53889309.0,ns,22
Performance,Naive,over/4,,,53520630.0,ns,22
Performance,Naive,over/4,,,55303282.0,ns,22
Performance,Naive,over/4,,,54914253.0,ns,22
Performance,Naive,over/4,,,53370610.0,ns,22
Performance,Naive,over/4,,,49555902.0,ns,22
Performance,Naive,over/4,,,49285149.0,ns,22
Performance,Naive,over/4,,,47739269.0,ns,22
Performance,Naive,over/4,,,47280666.0,ns,22
Performance,Naive,over/4,,,48853179.0,ns,22
Performance,Naive,over/4,,,48702851.0,ns,22
Performance,Naive,over/4,,,49559532.0,ns,22
Performance,Naive,over/4,,,49495160.0,ns,22
Performance,Naive,over/4,,,48516518.0,ns,22
Performance,Naive,over/4,,,48580431.0,ns,22
Performance,Naive,over/4,,,49218827.0,ns,22
Performance,Naive,over/4,,,49135616.0,ns,22
Performance,Naive,over/4,,,48911951.0,ns,22
Performance,Naive,over/4,,,48355078.0,ns,22
Performance,Naive,over/4,,,49595640.0,ns,22
Performance,Naive,over/4,,,47291095.0,ns,22
Performance,Naive,over/4,,,46817447.0,ns,22
Performance,Naive,over/4,,,49108421.0,ns,22
Performance,Naive,over/4,,,46864517.0,ns,22
Performance,Naive,over/4,,,48852475.0,ns,22
Performance,Naive,over/4,,,49701241.0,ns,22
Performance,Naive,over/4,,,48713131.0,ns,22
Performance,Naive,over/4,,,49725686.0,ns,22
Performance,Naive,over/4,,,47746371.0,ns,22
Performance,Naive,over/4,,,49035858.0,ns,22
Performance,Naive,over/4,,,47532117.0,ns,22
Performance,Naive,over/4,,,49703815.0,ns,22
Performance,Naive,over/4,,,50464211.0,ns,22
Performance,Naive,over/4,,,52507623.0,ns,22
Performance,Naive,over/4,,,49966748.0,ns,22
Performance,Naive,over/4,,,54157537.0,ns,22
Performance,Naive,over/4,,,50435660.0,ns,22
Performance,Naive,over/4,,,52963554.0,ns,22
Performance,Naive,over/4,,,52818521.0,ns,22
Performance,Naive,over/4,,,52917877.0,ns,22
Performance,Naive,over/4,,,55050829.0,ns,22
Performance,Naive,over/4,,,57661395.0,ns,22
Performance,Naive,over/4,,,53842679.0,ns,22
Performance,Naive,over/4,,,50137163.0,ns,22
Performance,Naive,over/4,,,52609470.0,ns,22
Performance,Naive,over/4,,,49143533.0,ns,22
Performance,Naive,over/4,,,48808917.0,ns,22
Performance,Naive,over/4,,,47730751.0,ns,22
Performance,Naive,over/4,,,47897049.0,ns,22
Performance,Naive,over/4,,,48131580.0,ns,22
Performance,Naive,over/4,,,48072153.0,ns,22
Performance,Naive,over/4,,,48995388.0,ns,22
Performance,Naive,over/4,,,49251854.0,ns,22
Performance,Naive,over/4,,,49094336.0,ns,22
Performance,Naive,over/4,,,48911614.0,ns,22
Performance,Naive,over/4,,,49040942.0,ns,22
Performance,Naive,over/4,,,47668091.0,ns,22
Performance,Naive,over/4,,,48072870.0,ns,22
Performance,Naive,over/4,,,46960457.0,ns,22
Performance,Naive,over/4,,,47410520.0,ns,22
Performance,Naive,over/4,,,46608321.0,ns,22
Performance,Naive,over/4,,,47348161.0,ns,22
Performance,Naive,over/4,,,46498117.0,ns,22
Performance,Naive,over/4,,,48499426.0,ns,22
Performance,Naive,over/4,,,47647272.0,ns,22
Performance,Naive,over/4,,,46908879.0,ns,22
Performance,Naive,over/4,,,46900670.0,ns,22
Performance,Naive,over/4,,,48819668.0,ns,22
Performance,Naive,over/4,,,48207710.0,ns,22
Performance,Naive,over/4,,,47277038.0,ns,22
