group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,pre/3,,,53725805.0,ns,22
Performance,Naive,pre/3,,,53293828.0,ns,22
Performance,Naive,pre/3,,,46895051.0,ns,22
Performance,Naive,pre/3,,,46267470.0,ns,22
Performance,Naive,pre/3,,,46233236.0,ns,22
Performance,Naive,pre/3,,,47293075.0,ns,22
Performance,Naive,pre/3,,,47260456.0,ns,22
Performance,Naive,pre/3,,,46341085.0,ns,22
Performance,Naive,pre/3,,,47958449.0,ns,22
Performance,Naive,pre/3,,,47003134.0,ns,22
Performance,Naive,pre/3,,,46511945.0,ns,22
Performance,Naive,pre/3,,,46738304.0,ns,22
Performance,Naive,pre/3,,,48418662.0,ns,22
Performance,Naive,pre/3,,,46420150.0,ns,22
Performance,Naive,pre/3,,,47466564.0,ns,22
Performance,Naive,pre/3,,,47106175.0,ns,22
Performance,Naive,pre/3,,,47488965.0,ns,22
Performance,Naive,pre/3,,,47227729.0,ns,22
Performance,Naive,pre/3,,,47468554.0,ns,22
Performance,Naive,pre/3,,,49441683.0,ns,22
Performance,Naive,pre/3,,,47611700.0,ns,22
Performance,Naive,pre/3,,,47031562.0,ns,22
Performance,Naive,pre/3,,,47713410.0,ns,22
Performance,Naive,pre/3,,,47900246.0,ns,22
Performance,Naive,pre/3,,,47307935.0,ns,22
Performance,Naive,pre/3,,,47146762.0,ns,22
Performance,Naive,pre/3,,,48056428.0,ns,22
Performance,Naive,pre/3,,,47380687.0,ns,22
Performance,Naive,pre/3,,,47998369.0,ns,22
Performance,Naive,pre/3,,,48911939.0,ns,22
Performance,Naive,pre/3,,,47970395.0,ns,22
Performance,Naive,pre/3,,,47028687.0,ns,22
Performance,Naive,pre/3,,,46473050.0,ns,22
Performance,Naive,pre/3,,,46784679.0,ns,22
Performance,Naive,pre/3,,,46125436.0,ns,22
Performance,Naive,pre/3,,,47665394.0,ns,22
Performance,Naive,pre/3,,,46817300.0,ns,22
Performance,Naive,pre/3,,,48076422.0,ns,22
Performance,Naive,pre/3,,,46788968.0,ns,22
Performance,Naive,pre/3,,,48653638.0,ns,22
Performance,Naive,pre/3,,,48913348.0,ns,22
Performance,Naive,pre/3,,,46900662.0,ns,22
Performance,Naive,pre/3,,,46791758.0,ns,22
Performance,Naive,pre/3,,,46697262.0,ns,22
Performance,Naive,pre/3,,,48130602.0,ns,22
Performance,Naive,pre/3,,,46463406.0,ns,22
Performance,Naive,pre/3,,,46943099.0,ns,22
Performance,Naive,pre/3,,,47163434.0,ns,22
Performance,Naive,pre/3,,,46821608.0,ns,22
Performance,Naive,pre/3,,,45744781.0,ns,22
Performance,Naive,pre/3,,,48977659.0,ns,22
Performance,Naive,pre/3,,,47965414.0,ns,22
Performance,Naive,pre/3,,,45403654.0,ns,22
Performance,Naive,pre/3,,,48570334.0,ns,22
Performance,Naive,pre/3,,,47710923.0,ns,22
Performance,Naive,pre/3,,,48608272.0,ns,22
Performance,Naive,pre/3,,,50194247.0,ns,22
Performance,Naive,pre/3,,,48335451.0,ns,22
Performance,Naive,pre/3,,,50767008.0,ns,22
Performance,Naive,pre/3,,,48645084.0,ns,22
Performance,Naive,pre/3,,,51534849.0,ns,22
Performance,Naive,pre/3,,,52471362.0,ns,22
Performance,Naive,pre/3,,,46244684.0,ns,22
Performance,Naive,pre/3,,,48580953.0,ns,22
Performance,Naive,pre/3,,,55504584.0,ns,22
Performance,Naive,pre/3,,,50780503.0,ns,22
Performance,Naive,pre/3,,,50709599.0,ns,22
Performance,Naive,pre/3,,,50311284.0,ns,22
Performance,Naive,pre/3,,,47825058.0,ns,22
Performance,Naive,pre/3,,,48301695.0,ns,22
Performance,Naive,pre/3,,,51349033.0,ns,22
Performance,Naive,pre/3,,,57441848.0,ns,22
Performance,Naive,pre/3,,,54531554.0,ns,22
Performance,Naive,pre/3,,,49107973.0,ns,22
Performance,Naive,pre/3,,,47421968.0,ns,22
Performance,Naive,pre/3,,,49391569.0,ns,22
Performance,Naive,pre/3,,,50794961.0,ns,22
Performance,Naive,pre/3,,,51822064.0,ns,22
Performance,Naive,pre/3,,,52998555.0,ns,22
Performance,Naive,pre/3,,,48750506.0,ns,22
Performance,Naive,pre/3,,,48739112.0,ns,22
Performance,Naive,pre/3,,,49321200.0,ns,22
Performance,Naive,pre/3,,,46068405.0,ns,22
Performance,Naive,pre/3,,,49418569.0,ns,22
Performance,Naive,pre/3,,,47114849.0,ns,22
Performance,Naive,pre/3,,,48218963.0,ns,22
Performance,Naive,pre/3,,,47321915.0,ns,22
Performance,Naive,pre/3,,,47311456.0,ns,22
Performance,Naive,pre/3,,,48203107.0,ns,22
Performance,Naive,pre/3,,,47326529.0,ns,22
Performance,Naive,pre/3,,,51015927.0,ns,22
Performance,Naive,pre/3,,,47741384.0,ns,22
Performance,Naive,pre/3,,,47145398.0,ns,22
Performance,Naive,pre/3,,,46298065.0,ns,22
Performance,Naive,pre/3,,,47192339.0,ns,22
Performance,Naive,pre/3,,,47701461.0,ns,22
Performance,Naive,pre/3,,,46851016.0,ns,22
Performance,Naive,pre/3,,,48066175.0,ns,22
Performance,Naive,pre/3,,,46824825.0,ns,22
Performance,Naive,pre/3,,,47028010.0,ns,22
