group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,re/2,,,46720706.0,ns,22
Performance,Naive,re/2,,,46153377.0,ns,22
Performance,Naive,re/2,,,44916969.0,ns,22
Performance,Naive,re/2,,,45907172.0,ns,22
Performance,Naive,re/2,,,46220095.0,ns,22
Performance,Naive,re/2,,,45349534.0,ns,22
Performance,Naive,re/2,,,46989609.0,ns,22
Performance,Naive,re/2,,,45642849.0,ns,22
Performance,Naive,re/2,,,45679566.0,ns,22
Performance,Naive,re/2,,,45388761.0,ns,22
Performance,Naive,re/2,,,46914016.0,ns,22
Performance,Naive,re/2,,,53203896.0,ns,22
Performance,Naive,re/2,,,46320061.0,ns,22
Performance,Naive,re/2,,,50090604.0,ns,22
Performance,Naive,re/2,,,47682602.0,ns,22
Performance,Naive,re/2,,,49196995.0,ns,22
Performance,Naive,re/2,,,47349494.0,ns,22
Performance,Naive,re/2,,,46853509.0,ns,22
Performance,Naive,re/2,,,47312148.0,ns,22
Performance,Naive,re/2,,,46614445.0,ns,22
Performance,Naive,re/2,,,47536601.0,ns,22
Performance,Naive,re/2,,,47380074.0,ns,22
Performance,Naive,re/2,,,45747783.0,ns,22
Performance,Naive,re/2,,,46356991.0,ns,22
Performance,Naive,re/2,,,45341443.0,ns,22
Performance,Naive,re/2,,,46036598.0,ns,22
Performance,Naive,re/2,,,47507160.0,ns,22
Performance,Naive,re/2,,,46447411.0,ns,22
Performance,Naive,re/2,,,45552882.0,ns,22
Performance,Naive,re/2,,,45380825.0,ns,22
Performance,Naive,re/2,,,46358301.0,ns,22
Performance,Naive,re/2,,,47294371.0,ns,22
Performance,Naive,re/2,,,50054316.0,ns,22
Performance,Naive,re/2,,,46240276.0,ns,22
Performance,Naive,re/2,,,45205071.0,ns,22
Performance,Naive,re/2,,,45902641.0,ns,22
Performance,Naive,re/2,,,45879339.0,ns,22
Performance,Naive,re/2,,,46295849.0,ns,22
Performance,Naive,re/2,,,44844508.0,ns,22
Performance,Naive,re/2,,,45221273.0,ns,22
Performance,Naive,re/2,,,45576127.0,ns,22
Performance,Naive,re/2,,,46507838.0,ns,22
Performance,Naive,re/2,,,45697502.0,ns,22
Performance,Naive,re/2,,,45261923.0,ns,22
Performance,Naive,re/2,,,45689831.0,ns,22
Performance,Naive,re/2,,,46212337.0,ns,22
Performance,Naive,re/2,,,46025476.0,ns,22
Performance,Naive,re/2,,,46374248.0,ns,22
Performance,Naive,re/2,,,46454660.0,ns,22
Performance,Naive,re/2,,,47638886.0,ns,22
Performance,Naive,re/2,,,48522167.0,ns,22
Performance,Naive,re/2,,,48765998.0,ns,22
Performance,Naive,re/2,,,55281455.0,ns,22
Performance,Naive,re/2,,,65187370.0,ns,22
Performance,Naive,re/2,,,62806212.0,ns,22
Performance,Naive,re/2,,,51941430.0,ns,22
Performance,Naive,re/2,,,46900302.0,ns,22
Performance,Naive,re/2,,,54541823.0,ns,22
Performance,Naive,re/2,,,54583394.0,ns,22
Performance,Naive,re/2,,,58587638.0,ns,22
Performance,Naive,re/2,,,58975667.0,ns,22
Performance,Naive,re/2,,,59681689.0,ns,22
Performance,Naive,re/2,,,59266871.0,ns,22
Performance,Naive,re/2,,,53807923.0,ns,22
Performance,Naive,re/2,,,55061124.0,ns,22
Performance,Naive,re/2,,,58157753.0,ns,22
Performance,Naive,re/2,,,57398932.0,ns,22
Performance,Naive,re/2,,,56677548.0,ns,22
Performance,Naive,re/2,,,51749427.0,ns,22
Performance,Naive,re/2,,,55980473.0,ns,22
Performance,Naive,re/2,,,59595973.0,ns,22
Performance,Naive,re/2,,,59027480.0,ns,22
Performance,Naive,re/2,,,51507395.0,ns,22
Performance,Naive,re/2,,,48497679.0,ns,22
Performance,Naive,re/2,,,51506861.0,ns,22
Performance,Naive,re/2,,,50976765.0,ns,22
Performance,Naive,re/2,,,50292371.0,ns,22
Performance,Naive,re/2,,,56149037.0,ns,22
Performance,Naive,re/2,,,56936354.0,ns,22
Performance,Naive,re/2,,,55611167.0,ns,22
Performance,Naive,re/2,,,56672508.0,ns,22
Performance,Naive,re/2,,,60228893.0,ns,22
Performance,Naive,re/2,,,48461538.0,ns,22
Performance,Naive,re/2,,,48066171.0,ns,22
Performance,Naive,re/2,,,52853610.0,ns,22
Performance,Naive,re/2,,,55874655.0,ns,22
Performance,Naive,re/2,,,56498002.0,ns,22
Performance,Naive,re/2,,,53717525.0,ns,22
Performance,Naive,re/2,,,46831767.0,ns,22
Performance,Naive,re/2,,,50154374.0,ns,22
Performance,Naive,re/2,,,53834080.0,ns,22
Performance,Naive,re/2,,,60240574.0,ns,22
Performance,Naive,re/2,,,55151530.0,ns,22
Performance,Naive,re/2,,,53942811.0,ns,22
Performance,Naive,re/2,,,53631761.0,ns,22
Performance,Naive,re/2,,,46554913.0,ns,22
Performance,Naive,re/2,,,44845604.0,ns,22
Performance,Naive,re/2,,,47124214.0,ns,22
Performance,Naive,re/2,,,50642213.0,ns,22
Performance,Naive,re/2,,,49185316.0,ns,22
