group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,sub/3,,,43639333.0,ns,19
Performance,Naive,sub/3,,,42413748.0,ns,19
Performance,Naive,sub/3,,,45601158.0,ns,19
Performance,Naive,sub/3,,,43523249.0,ns,19
Performance,Naive,sub/3,,,43204591.0,ns,19
Performance,Naive,sub/3,,,41431065.0,ns,19
Performance,Naive,sub/3,,,41848093.0,ns,19
Performance,Naive,sub/3,,,40473005.0,ns,19
Performance,Naive,sub/3,,,42428907.0,ns,19
Performance,Naive,sub/3,,,41242305.0,ns,19
Performance,Naive,sub/3,,,40889544.0,ns,19
Performance,Naive,sub/3,,,40294872.0,ns,19
Performance,Naive,sub/3,,,42938644.0,ns,19
Performance,Naive,sub/3,,,45652959.0,ns,19
Performance,Naive,sub/3,,,47569444.0,ns,19
Performance,Naive,sub/3,,,49760314.0,ns,19
Performance,Naive,sub/3,,,53876042.0,ns,19
Performance,Naive,sub/3,,,42601008.0,ns,19
Performance,Naive,sub/3,,,40222881.0,ns,19
Performance,Naive,sub/3,,,42840268.0,ns,19
Performance,Naive,sub/3,,,43035633.0,ns,19
Performance,Naive,sub/3,,,43768875.0,ns,19
Performance,Naive,sub/3,,,45875015.0,ns,19
Performance,Naive,sub/3,,,40727440.0,ns,19
Performance,Naive,sub/3,,,40712147.0,ns,19
Performance,Naive,sub/3,,,41486210.0,ns,19
Performance,Naive,sub/3,,,42375385.0,ns,19
Performance,Naive,sub/3,,,43639349.0,ns,19
Performance,Naive,sub/3,,,41500994.0,ns,19
Performance,Naive,sub/3,,,40278041.0,ns,19
Performance,Naive,sub/3,,,40744362.0,ns,19
Performance,Naive,sub/3,,,40688025.0,ns,19
Performance,Naive,sub/3,,,41505141.0,ns,19
Performance,Naive,sub/3,,,41882951.0,ns,19
Performance,Naive,sub/3,,,41393462.0,ns,19
Performance,Naive,sub/3,,,46153596.0,ns,19
Performance,Naive,sub/3,,,40502360.0,ns,19
Performance,Naive,sub/3,,,40391313.0,ns,19
Performance,Naive,sub/3,,,40938978.0,ns,19
Performance,Naive,sub/3,,,40510197.0,ns,19
Performance,Naive,sub/3,,,43210464.0,ns,19
Performance,Naive,sub/3,,,41780976.0,ns,19
Performance,Naive,sub/3,,,41728534.0,ns,19
Performance,Naive,sub/3,,,40686497.0,ns,19
Performance,Naive,sub/3,,,40956906.0,ns,19
Performance,Naive,sub/3,,,41542278.0,ns,19
Performance,Naive,sub/3,,,39983729.0,ns,19
Performance,Naive,sub/3,,,42303875.0,ns,19
Performance,Naive,sub/3,,,41236424.0,ns,19
Performance,Naive,sub/3,,,40064211.0,ns,19
Performance,Naive,sub/3,,,39964855.0,ns,19
Performance,Naive,sub/3,,,40220210.0,ns,19
Performance,Naive,sub/3,,,41837385.0,ns,19
Performance,Naive,sub/3,,,40197732.0,ns,19
Performance,Naive,sub/3,,,42064075.0,ns,19
Performance,Naive,sub/3,,,42171521.0,ns,19
Performance,Naive,sub/3,,,39512236.0,ns,19
Performance,Naive,sub/3,,,40679041.0,ns,19
Performance,Naive,sub/3,,,41886061.0,ns,19
Performance,Naive,sub/3,,,41691845.0,ns,19
Performance,Naive,sub/3,,,40366045.0,ns,19
Performance,Naive,sub/3,,,40262695.0,ns,19
Performance,Naive,sub/3,,,39438882.0,ns,19
Performance,Naive,sub/3,,,41310821.0,ns,19
Performance,Naive,sub/3,,,43929049.0,ns,19
Performance,Naive,sub/3,,,60013013.0,ns,19
Performance,Naive,sub/3,,,89277592.0,ns,19
Performance,Naive,sub/3,,,90978103.0,ns,19
Performance,Naive,sub/3,,,50854933.0,ns,19
Performance,Naive,sub/3,,,87518128.0,ns,19
Performance,Naive,sub/3,,,47096414.0,ns,19
Performance,Naive,sub/3,,,41212670.0,ns,19
Performance,Naive,sub/3,,,43780045.0,ns,19
Performance,Naive,sub/3,,,50271050.0,ns,19
Performance,Naive,sub/3,,,45455976.0,ns,19
Performance,Naive,sub/3,,,41512353.0,ns,19
Performance,Naive,sub/3,,,48619692.0,ns,19
Performance,Naive,sub/3,,,45300035.0,ns,19
Performance,Naive,sub/3,,,42237569.0,ns,19
Performance,Naive,sub/3,,,41805112.0,ns,19
Performance,Naive,sub/3,,,42875833.0,ns,19
Performance,Naive,sub/3,,,42383632.0,ns,19
Performance,Naive,sub/3,,,41440843.0,ns,19
Performance,Naive,sub/3,,,42856975.0,ns,19
Performance,Naive,sub/3,,,45461919.0,ns,19
Performance,Naive,sub/3,,,54871393.0,ns,19
Performance,Naive,sub/3,,,55287185.0,ns,19
Performance,Naive,sub/3,,,58602232.0,ns,19
Performance,Naive,sub/3,,,68646371.0,ns,19
Performance,Naive,sub/3,,,63794113.0,ns,19
Performance,Naive,sub/3,,,57216731.0,ns,19
Performance,Naive,sub/3,,,50993918.0,ns,19
Performance,Naive,sub/3,,,56807782.0,ns,19
Performance,Naive,sub/3,,,62286592.0,ns,19
Performance,Naive,sub/3,,,55527077.0,ns,19
Performance,Naive,sub/3,,,48687618.0,ns,19
Performance,Naive,sub/3,,,47662189.0,ns,19
Performance,Naive,sub/3,,,45728285.0,ns,19
Performance,Naive,sub/3,,,48794323.0,ns,19
Performance,Naive,sub/3,,,52486879.0,ns,19
