group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,trans/5,,,47804611.0,ns,20
Performance,Naive,trans/5,,,51044251.0,ns,20
Performance,Naive,trans/5,,,47415582.0,ns,20
Performance,Naive,trans/5,,,45941325.0,ns,20
Performance,Naive,trans/5,,,46626890.0,ns,20
Performance,Naive,trans/5,,,46757769.0,ns,20
Performance,Naive,trans/5,,,44503356.0,ns,20
Performance,Naive,trans/5,,,45502422.0,ns,20
Performance,Naive,trans/5,,,46316784.0,ns,20
Performance,Naive,trans/5,,,45733597.0,ns,20
Performance,Naive,trans/5,,,46815925.0,ns,20
Performance,Naive,trans/5,,,46238662.0,ns,20
Performance,Naive,trans/5,,,45137229.0,ns,20
Performance,Naive,trans/5,,,57495528.0,ns,20
Performance,Naive,trans/5,,,46992168.0,ns,20
Performance,Naive,trans/5,,,50415145.0,ns,20
Performance,Naive,trans/5,,,51069296.0,ns,20
Performance,Naive,trans/5,,,48447989.0,ns,20
Performance,Naive,trans/5,,,46808456.0,ns,20
Performance,Naive,trans/5,,,48120482.0,ns,20
Performance,Naive,trans/5,,,51752051.0,ns,20
Performance,Naive,trans/5,,,50839427.0,ns,20
Performance,Naive,trans/5,,,52199508.0,ns,20
Performance,Naive,trans/5,,,52914815.0,ns,20
Performance,Naive,trans/5,,,50138218.0,ns,20
Performance,Naive,trans/5,,,50617404.0,ns,20
Performance,Naive,trans/5,,,52584502.0,ns,20
Performance,Naive,trans/5,,,47455122.0,ns,20
Performance,Naive,trans/5,,,50631434.0,ns,20
Performance,Naive,trans/5,,,47589653.0,ns,20
Performance,Naive,trans/5,,,47128192.0,ns,20
Performance,Naive,trans/5,,,57275515.0,ns,20
Performance,Naive,trans/5,,,97747141.0,ns,20
Performance,Naive,trans/5,,,83867707.0,ns,20
Performance,Naive,trans/5,,,70852362.0,ns,20
Performance,Naive,trans/5,,,55215358.0,ns,20
Performance,Naive,trans/5,,,50929608.0,ns,20
Performance,Naive,trans/5,,,49111286.0,ns,20
Performance,Naive,trans/5,,,47473087.0,ns,20
Performance,Naive,trans/5,,,46967530.0,ns,20
Performance,Naive,trans/5,,,45983778.0,ns,20
Performance,Naive,trans/5,,,47950511.0,ns,20
Performance,Naive,trans/5,,,45248520.0,ns,20
Performance,Naive,trans/5,,,45861544.0,ns,20
Performance,Naive,trans/5,,,45070106.0,ns,20
Performance,Naive,trans/5,,,45074068.0,ns,20
Performance,Naive,trans/5,,,45895717.0,ns,20
Performance,Naive,trans/5,,,56834654.0,ns,20
Performance,Naive,trans/5,,,51872162.0,ns,20
Performance,Naive,trans/5,,,51966140.0,ns,20
Performance,Naive,trans/5,,,49870777.0,ns,20
Performance,Naive,trans/5,,,48838209.0,ns,20
Performance,Naive,trans/5,,,50571748.0,ns,20
Performance,Naive,trans/5,,,47520578.0,ns,20
Performance,Naive,trans/5,,,50255535.0,ns,20
Performance,Naive,trans/5,,,44533075.0,ns,20
Performance,Naive,trans/5,,,44636463.0,ns,20
Performance,Naive,trans/5,,,47676603.0,ns,20
Performance,Naive,trans/5,,,47124388.0,ns,20
Performance,Naive,trans/5,,,46207215.0,ns,20
Performance,Naive,trans/5,,,46019728.0,ns,20
Performance,Naive,trans/5,,,50243604.0,ns,20
Performance,Naive,trans/5,,,44672360.0,ns,20
Performance,Naive,trans/5,,,48796203.0,ns,20
Performance,Naive,trans/5,,,45159715.0,ns,20
Performance,Naive,trans/5,,,43254004.0,ns,20
Performance,Naive,trans/5,,,43861385.0,ns,20
Performance,Naive,trans/5,,,44598154.0,ns,20
Performance,Naive,trans/5,,,44401663.0,ns,20
Performance,Naive,trans/5,,,46536157.0,ns,20
Performance,Naive,trans/5,,,47030744.0,ns,20
Performance,Naive,trans/5,,,43266386.0,ns,20
Performance,Naive,trans/5,,,46417810.0,ns,20
Performance,Naive,trans/5,,,50250479.0,ns,20
Performance,Naive,trans/5,,,42747105.0,ns,20
Performance,Naive,trans/5,,,44454970.0,ns,20
Performance,Naive,trans/5,,,47964983.0,ns,20
Performance,Naive,trans/5,,,44771639.0,ns,20
Performance,Naive,trans/5,,,44108740.0,ns,20
Performance,Naive,trans/5,,,47226511.0,ns,20
Performance,Naive,trans/5,,,49738333.0,ns,20
Performance,Naive,trans/5,,,46085383.0,ns,20
Performance,Naive,trans/5,,,51376133.0,ns,20
Performance,Naive,trans/5,,,47459687.0,ns,20
Performance,Naive,trans/5,,,45590591.0,ns,20
Performance,Naive,trans/5,,,47120989.0,ns,20
Performance,Naive,trans/5,,,47103784.0,ns,20
Performance,Naive,trans/5,,,45141173.0,ns,20
Performance,Naive,trans/5,,,42862102.0,ns,20
Performance,Naive,trans/5,,,44162409.0,ns,20
Performance,Naive,trans/5,,,43909494.0,ns,20
Performance,Naive,trans/5,,,43045693.0,ns,20
Performance,Naive,trans/5,,,66765128.0,ns,20
Performance,Naive,trans/5,,,77135933.0,ns,20
Performance,Naive,trans/5,,,77903919.0,ns,20
Performance,Naive,trans/5,,,70686963.0,ns,20
Performance,Naive,trans/5,,,74545554.0,ns,20
Performance,Naive,trans/5,,,57611005.0,ns,20
Performance,Naive,trans/5,,,51465499.0,ns,20
Performance,Naive,trans/5,,,49059177.0,ns,20
