group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Naive,un/2,,,45136595.0,ns,21
Performance,Naive,un/2,,,42892144.0,ns,21
Performance,Naive,un/2,,,51638092.0,ns,21
Performance,Naive,un/2,,,49015613.0,ns,21
Performance,Naive,un/2,,,52305236.0,ns,21
Performance,Naive,un/2,,,54303337.0,ns,21
Performance,Naive,un/2,,,48812364.0,ns,21
Performance,Naive,un/2,,,45948261.0,ns,21
Performance,Naive,un/2,,,54154581.0,ns,21
Performance,Naive,un/2,,,45863157.0,ns,21
Performance,Naive,un/2,,,44806249.0,ns,21
Performance,Naive,un/2,,,44735174.0,ns,21
Performance,Naive,un/2,,,44099437.0,ns,21
Performance,Naive,un/2,,,44114154.0,ns,21
Performance,Naive,un/2,,,44458953.0,ns,21
Performance,Naive,un/2,,,42751788.0,ns,21
Performance,Naive,un/2,,,44439032.0,ns,21
Performance,Naive,un/2,,,43587597.0,ns,21
Performance,Naive,un/2,,,42572244.0,ns,21
Performance,Naive,un/2,,,55839553.0,ns,21
Performance,Naive,un/2,,,46132554.0,ns,21
Performance,Naive,un/2,,,43461132.0,ns,21
Performance,Naive,un/2,,,43045527.0,ns,21
Performance,Naive,un/2,,,43832205.0,ns,21
Performance,Naive,un/2,,,44667894.0,ns,21
Performance,Naive,un/2,,,44405743.0,ns,21
Performance,Naive,un/2,,,43890507.0,ns,21
Performance,Naive,un/2,,,42871516.0,ns,21
Performance,Naive,un/2,,,44723634.0,ns,21
Performance,Naive,un/2,,,43909995.0,ns,21
Performance,Naive,un/2,,,50349473.0,ns,21
Performance,Naive,un/2,,,48648997.0,ns,21
Performance,Naive,un/2,,,50994475.0,ns,21
Performance,Naive,un/2,,,50761567.0,ns,21
Performance,Naive,un/2,,,45669965.0,ns,21
Performance,Naive,un/2,,,47100186.0,ns,21
Performance,Naive,un/2,,,45895624.0,ns,21
Performance,Naive,un/2,,,46639782.0,ns,21
Performance,Naive,un/2,,,46975177.0,ns,21
Performance,Naive,un/2,,,46705293.0,ns,21
Performance,Naive,un/2,,,49547617.0,ns,21
Performance,Naive,un/2,,,52702268.0,ns,21
Performance,Naive,un/2,,,47703457.0,ns,21
Performance,Naive,un/2,,,46302021.0,ns,21
Performance,Naive,un/2,,,50368346.0,ns,21
Performance,Naive,un/2,,,45840195.0,ns,21
Performance,Naive,un/2,,,46571947.0,ns,21
Performance,Naive,un/2,,,49322262.0,ns,21
Performance,Naive,un/2,,,46080782.0,ns,21
Performance,Naive,un/2,,,48055777.0,ns,21
Performance,Naive,un/2,,,44322605.0,ns,21
Performance,Naive,un/2,,,55549305.0,ns,21
Performance,Naive,un/2,,,52679197.0,ns,21
Performance,Naive,un/2,,,60530242.0,ns,21
Performance,Naive,un/2,,,59777287.0,ns,21
Performance,Naive,un/2,,,56324585.0,ns,21
Performance,Naive,un/2,,,55994653.0,ns,21
Performance,Naive,un/2,,,57384175.0,ns,21
Performance,Naive,un/2,,,49589375.0,ns,21
Performance,Naive,un/2,,,43597615.0,ns,21
Performance,Naive,un/2,,,51781763.0,ns,21
Performance,Naive,un/2,,,55813553.0,ns,21
Performance,Naive,un/2,,,57952769.0,ns,21
Performance,Naive,un/2,,,56398526.0,ns,21
Performance,Naive,un/2,,,57183064.0,ns,21
Performance,Naive,un/2,,,58932837.0,ns,21
Performance,Naive,un/2,,,57335083.0,ns,21
Performance,Naive,un/2,,,54405569.0,ns,21
Performance,Naive,un/2,,,61063435.0,ns,21
Performance,Naive,un/2,,,52610471.0,ns,21
Performance,Naive,un/2,,,57726543.0,ns,21
Performance,Naive,un/2,,,74029334.0,ns,21
Performance,Naive,un/2,,,75759000.0,ns,21
Performance,Naive,un/2,,,65865847.0,ns,21
Performance,Naive,un/2,,,58009014.0,ns,21
Performance,Naive,un/2,,,57388795.0,ns,21
Performance,Naive,un/2,,,51639405.0,ns,21
Performance,Naive,un/2,,,50783713.0,ns,21
Performance,Naive,un/2,,,50198933.0,ns,21
Performance,Naive,un/2,,,50170651.0,ns,21
Performance,Naive,un/2,,,55553797.0,ns,21
Performance,Naive,un/2,,,61905311.0,ns,21
Performance,Naive,un/2,,,53232008.0,ns,21
Performance,Naive,un/2,,,45662557.0,ns,21
Performance,Naive,un/2,,,45779903.0,ns,21
Performance,Naive,un/2,,,46499054.0,ns,21
Performance,Naive,un/2,,,45094479.0,ns,21
Performance,Naive,un/2,,,48318823.0,ns,21
Performance,Naive,un/2,,,46660110.0,ns,21
Performance,Naive,un/2,,,47329629.0,ns,21
Performance,Naive,un/2,,,47548674.0,ns,21
Performance,Naive,un/2,,,48852131.0,ns,21
Performance,Naive,un/2,,,46038098.0,ns,21
Performance,Naive,un/2,,,46118240.0,ns,21
Performance,Naive,un/2,,,66658955.0,ns,21
Performance,Naive,un/2,,,57223783.0,ns,21
Performance,Naive,un/2,,,45108873.0,ns,21
Performance,Naive,un/2,,,52569887.0,ns,21
Performance,Naive,un/2,,,47999781.0,ns,21
Performance,Naive,un/2,,,67905571.0,ns,21
