group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,anti/4,,,1046656.0,ns,1325
Performance,Trie,anti/4,,,1980536.0,ns,2650
Performance,Trie,anti/4,,,3035171.0,ns,3975
Performance,Trie,anti/4,,,4052784.0,ns,5300
Performance,Trie,anti/4,,,4820021.0,ns,6625
Performance,Trie,anti/4,,,5628419.0,ns,7950
Performance,Trie,anti/4,,,6695738.0,ns,9275
Performance,Trie,anti/4,,,7640766.0,ns,10600
Performance,Trie,anti/4,,,8753891.0,ns,11925
Performance,Trie,anti/4,,,9873840.0,ns,13250
Performance,Trie,anti/4,,,10647060.0,ns,14575
Performance,Trie,anti/4,,,11795236.0,ns,15900
Performance,Trie,anti/4,,,12618364.0,ns,17225
Performance,Trie,anti/4,,,13681256.0,ns,18550
Performance,Trie,anti/4,,,14685349.0,ns,19875
Performance,Trie,anti/4,,,15940400.0,ns,21200
Performance,Trie,anti/4,,,16888259.0,ns,22525
Performance,Trie,anti/4,,,17693724.0,ns,23850
Performance,Trie,anti/4,,,18313746.0,ns,25175
Performance,Trie,anti/4,,,19598173.0,ns,26500
Performance,Trie,anti/4,,,20518997.0,ns,27825
Performance,Trie,anti/4,,,21672361.0,ns,29150
Performance,Trie,anti/4,,,22463513.0,ns,30475
Performance,Trie,anti/4,,,23138755.0,ns,31800
Performance,Trie,anti/4,,,24440482.0,ns,33125
Performance,Trie,anti/4,,,25720480.0,ns,34450
Performance,Trie,anti/4,,,26204874.0,ns,35775
Performance,Trie,anti/4,,,28461981.0,ns,37100
Performance,Trie,anti/4,,,27818480.0,ns,38425
Performance,Trie,anti/4,,,29485271.0,ns,39750
Performance,Trie,anti/4,,,29941645.0,ns,41075
Performance,Trie,anti/4,,,31888957.0,ns,42400
Performance,Trie,anti/4,,,32077438.0,ns,43725
Performance,Trie,anti/4,,,33054682.0,ns,45050
Performance,Trie,anti/4,,,33818848.0,ns,46375
Performance,Trie,anti/4,,,35248035.0,ns,47700
Performance,Trie,anti/4,,,35902154.0,ns,49025
Performance,Trie,anti/4,,,37122085.0,ns,50350
Performance,Trie,anti/4,,,38633699.0,ns,51675
Performance,Trie,anti/4,,,39385147.0,ns,53000
Performance,Trie,anti/4,,,39345352.0,ns,54325
Performance,Trie,anti/4,,,40953291.0,ns,55650
Performance,Trie,anti/4,,,42839433.0,ns,56975
Performance,Trie,anti/4,,,43269821.0,ns,58300
Performance,Trie,anti/4,,,45058732.0,ns,59625
Performance,Trie,anti/4,,,43955616.0,ns,60950
Performance,Trie,anti/4,,,46786203.0,ns,62275
Performance,Trie,anti/4,,,44509320.0,ns,63600
Performance,Trie,anti/4,,,46815372.0,ns,64925
Performance,Trie,anti/4,,,49496063.0,ns,66250
Performance,Trie,anti/4,,,49176385.0,ns,67575
Performance,Trie,anti/4,,,50107594.0,ns,68900
Performance,Trie,anti/4,,,53200798.0,ns,70225
Performance,Trie,anti/4,,,54549227.0,ns,71550
Performance,Trie,anti/4,,,54248364.0,ns,72875
Performance,Trie,anti/4,,,54876663.0,ns,74200
Performance,Trie,anti/4,,,54787627.0,ns,75525
Performance,Trie,anti/4,,,55786565.0,ns,76850
Performance,Trie,anti/4,,,57404687.0,ns,78175
Performance,Trie,anti/4,,,58538248.0,ns,79500
Performance,Trie,anti/4,,,58635614.0,ns,80825
Performance,Trie,anti/4,,,61959528.0,ns,82150
Performance,Trie,anti/4,,,61013390.0,ns,83475
Performance,Trie,anti/4,,,61826473.0,ns,84800
Performance,Trie,anti/4,,,62373871.0,ns,86125
Performance,Trie,anti/4,,,64428185.0,ns,87450
Performance,Trie,anti/4,,,65670395.0,ns,88775
Performance,Trie,anti/4,,,66901836.0,ns,90100
Performance,Trie,anti/4,,,65986089.0,ns,91425
Performance,Trie,anti/4,,,69970740.0,ns,92750
Performance,Trie,anti/4,,,68464520.0,ns,94075
Performance,Trie,anti/4,,,70483676.0,ns,95400
Performance,Trie,anti/4,,,69245961.0,ns,96725
Performance,Trie,anti/4,,,71138600.0,ns,98050
Performance,Trie,anti/4,,,72748670.0,ns,99375
Performance,Trie,anti/4,,,74716206.0,ns,100700
Performance,Trie,anti/4,,,76341610.0,ns,102025
Performance,Trie,anti/4,,,74362128.0,ns,103350
Performance,Trie,anti/4,,,76262955.0,ns,104675
Performance,Trie,anti/4,,,76588498.0,ns,106000
Performance,Trie,anti/4,,,78989124.0,ns,107325
Performance,Trie,anti/4,,,78492692.0,ns,108650
Performance,Trie,anti/4,,,80631328.0,ns,109975
Performance,Trie,anti/4,,,82042153.0,ns,111300
Performance,Trie,anti/4,,,82778898.0,ns,112625
Performance,Trie,anti/4,,,83761814.0,ns,113950
Performance,Trie,anti/4,,,83632669.0,ns,115275
Performance,Trie,anti/4,,,85949001.0,ns,116600
Performance,Trie,anti/4,,,85215105.0,ns,117925
Performance,Trie,anti/4,,,87046949.0,ns,119250
Performance,Trie,anti/4,,,88252698.0,ns,120575
Performance,Trie,anti/4,,,89689595.0,ns,121900
Performance,Trie,anti/4,,,89495444.0,ns,123225
Performance,Trie,anti/4,,,89877382.0,ns,124550
Performance,Trie,anti/4,,,92860321.0,ns,125875
Performance,Trie,anti/4,,,92979250.0,ns,127200
Performance,Trie,anti/4,,,95365295.0,ns,128525
Performance,Trie,anti/4,,,94813384.0,ns,129850
Performance,Trie,anti/4,,,97179701.0,ns,131175
Performance,Trie,anti/4,,,96181208.0,ns,132500
