group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,ca/2,,,906449.0,ns,2149
Performance,Trie,ca/2,,,1910474.0,ns,4298
Performance,Trie,ca/2,,,2848374.0,ns,6447
Performance,Trie,ca/2,,,3903266.0,ns,8596
Performance,Trie,ca/2,,,4774570.0,ns,10745
Performance,Trie,ca/2,,,5671779.0,ns,12894
Performance,Trie,ca/2,,,6561218.0,ns,15043
Performance,Trie,ca/2,,,7264627.0,ns,17192
Performance,Trie,ca/2,,,8382448.0,ns,19341
Performance,Trie,ca/2,,,9367176.0,ns,21490
Performance,Trie,ca/2,,,10425254.0,ns,23639
Performance,Trie,ca/2,,,11530046.0,ns,25788
Performance,Trie,ca/2,,,12444607.0,ns,27937
Performance,Trie,ca/2,,,13396195.0,ns,30086
Performance,Trie,ca/2,,,14256665.0,ns,32235
Performance,Trie,ca/2,,,15226411.0,ns,34384
Performance,Trie,ca/2,,,16089612.0,ns,36533
Performance,Trie,ca/2,,,17076945.0,ns,38682
Performance,Trie,ca/2,,,17954877.0,ns,40831
Performance,Trie,ca/2,,,20191270.0,ns,42980
Performance,Trie,ca/2,,,21430151.0,ns,45129
Performance,Trie,ca/2,,,21713444.0,ns,47278
Performance,Trie,ca/2,,,22178626.0,ns,49427
Performance,Trie,ca/2,,,22531725.0,ns,51576
Performance,Trie,ca/2,,,23520710.0,ns,53725
Performance,Trie,ca/2,,,25254774.0,ns,55874
Performance,Trie,ca/2,,,26267656.0,ns,58023
Performance,Trie,ca/2,,,26901940.0,ns,60172
Performance,Trie,ca/2,,,29245520.0,ns,62321
Performance,Trie,ca/2,,,27948873.0,ns,64470
Performance,Trie,ca/2,,,30084654.0,ns,66619
Performance,Trie,ca/2,,,29873823.0,ns,68768
Performance,Trie,ca/2,,,31746174.0,ns,70917
Performance,Trie,ca/2,,,32425911.0,ns,73066
Performance,Trie,ca/2,,,33480192.0,ns,75215
Performance,Trie,ca/2,,,35117420.0,ns,77364
Performance,Trie,ca/2,,,36106300.0,ns,79513
Performance,Trie,ca/2,,,36813578.0,ns,81662
Performance,Trie,ca/2,,,37281716.0,ns,83811
Performance,Trie,ca/2,,,38800829.0,ns,85960
Performance,Trie,ca/2,,,41951135.0,ns,88109
Performance,Trie,ca/2,,,41300441.0,ns,90258
Performance,Trie,ca/2,,,41460625.0,ns,92407
Performance,Trie,ca/2,,,42326496.0,ns,94556
Performance,Trie,ca/2,,,44414507.0,ns,96705
Performance,Trie,ca/2,,,44607859.0,ns,98854
Performance,Trie,ca/2,,,45847112.0,ns,101003
Performance,Trie,ca/2,,,46047123.0,ns,103152
Performance,Trie,ca/2,,,47187170.0,ns,105301
Performance,Trie,ca/2,,,49714379.0,ns,107450
Performance,Trie,ca/2,,,51179608.0,ns,109599
Performance,Trie,ca/2,,,51191729.0,ns,111748
Performance,Trie,ca/2,,,52306925.0,ns,113897
Performance,Trie,ca/2,,,53508922.0,ns,116046
Performance,Trie,ca/2,,,53263311.0,ns,118195
Performance,Trie,ca/2,,,54169851.0,ns,120344
Performance,Trie,ca/2,,,55708878.0,ns,122493
Performance,Trie,ca/2,,,55560276.0,ns,124642
Performance,Trie,ca/2,,,55612106.0,ns,126791
Performance,Trie,ca/2,,,55335823.0,ns,128940
Performance,Trie,ca/2,,,59349067.0,ns,131089
Performance,Trie,ca/2,,,59738357.0,ns,133238
Performance,Trie,ca/2,,,60727964.0,ns,135387
Performance,Trie,ca/2,,,64052498.0,ns,137536
Performance,Trie,ca/2,,,63215860.0,ns,139685
Performance,Trie,ca/2,,,64782360.0,ns,141834
Performance,Trie,ca/2,,,66640613.0,ns,143983
Performance,Trie,ca/2,,,65789623.0,ns,146132
Performance,Trie,ca/2,,,69312020.0,ns,148281
Performance,Trie,ca/2,,,69708834.0,ns,150430
Performance,Trie,ca/2,,,67416618.0,ns,152579
Performance,Trie,ca/2,,,69469983.0,ns,154728
Performance,Trie,ca/2,,,70107894.0,ns,156877
Performance,Trie,ca/2,,,72226960.0,ns,159026
Performance,Trie,ca/2,,,72871447.0,ns,161175
Performance,Trie,ca/2,,,74299124.0,ns,163324
Performance,Trie,ca/2,,,74839395.0,ns,165473
Performance,Trie,ca/2,,,75668524.0,ns,167622
Performance,Trie,ca/2,,,75312561.0,ns,169771
Performance,Trie,ca/2,,,76059482.0,ns,171920
Performance,Trie,ca/2,,,79285642.0,ns,174069
Performance,Trie,ca/2,,,79056111.0,ns,176218
Performance,Trie,ca/2,,,80312102.0,ns,178367
Performance,Trie,ca/2,,,80063414.0,ns,180516
Performance,Trie,ca/2,,,80793791.0,ns,182665
Performance,Trie,ca/2,,,81371950.0,ns,184814
Performance,Trie,ca/2,,,84798998.0,ns,186963
Performance,Trie,ca/2,,,85547590.0,ns,189112
Performance,Trie,ca/2,,,86414372.0,ns,191261
Performance,Trie,ca/2,,,88565689.0,ns,193410
Performance,Trie,ca/2,,,88467854.0,ns,195559
Performance,Trie,ca/2,,,87121515.0,ns,197708
Performance,Trie,ca/2,,,88754768.0,ns,199857
Performance,Trie,ca/2,,,89792377.0,ns,202006
Performance,Trie,ca/2,,,92747424.0,ns,204155
Performance,Trie,ca/2,,,93968476.0,ns,206304
Performance,Trie,ca/2,,,91661378.0,ns,208453
Performance,Trie,ca/2,,,96194272.0,ns,210602
Performance,Trie,ca/2,,,94536566.0,ns,212751
Performance,Trie,ca/2,,,95114752.0,ns,214900
