group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,di/2,,,1051980.0,ns,5036
Performance,Trie,di/2,,,2103702.0,ns,10072
Performance,Trie,di/2,,,3151972.0,ns,15108
Performance,Trie,di/2,,,4254129.0,ns,20144
Performance,Trie,di/2,,,5254362.0,ns,25180
Performance,Trie,di/2,,,5955631.0,ns,30216
Performance,Trie,di/2,,,6409415.0,ns,35252
Performance,Trie,di/2,,,7415470.0,ns,40288
Performance,Trie,di/2,,,8381729.0,ns,45324
Performance,Trie,di/2,,,9471925.0,ns,50360
Performance,Trie,di/2,,,10613548.0,ns,55396
Performance,Trie,di/2,,,12838524.0,ns,60432
Performance,Trie,di/2,,,15500287.0,ns,65468
Performance,Trie,di/2,,,14526510.0,ns,70504
Performance,Trie,di/2,,,14844821.0,ns,75540
Performance,Trie,di/2,,,15019872.0,ns,80576
Performance,Trie,di/2,,,15975977.0,ns,85612
Performance,Trie,di/2,,,19044454.0,ns,90648
Performance,Trie,di/2,,,20655865.0,ns,95684
Performance,Trie,di/2,,,19936687.0,ns,100720
Performance,Trie,di/2,,,20519998.0,ns,105756
Performance,Trie,di/2,,,21664450.0,ns,110792
Performance,Trie,di/2,,,22474026.0,ns,115828
Performance,Trie,di/2,,,23510797.0,ns,120864
Performance,Trie,di/2,,,24146440.0,ns,125900
Performance,Trie,di/2,,,27472148.0,ns,130936
Performance,Trie,di/2,,,27073335.0,ns,135972
Performance,Trie,di/2,,,28601425.0,ns,141008
Performance,Trie,di/2,,,29741607.0,ns,146044
Performance,Trie,di/2,,,30620782.0,ns,151080
Performance,Trie,di/2,,,29926754.0,ns,156116
Performance,Trie,di/2,,,32832641.0,ns,161152
Performance,Trie,di/2,,,34194228.0,ns,166188
Performance,Trie,di/2,,,34345351.0,ns,171224
Performance,Trie,di/2,,,34181307.0,ns,176260
Performance,Trie,di/2,,,36762827.0,ns,181296
Performance,Trie,di/2,,,36066632.0,ns,186332
Performance,Trie,di/2,,,37012396.0,ns,191368
Performance,Trie,di/2,,,38866220.0,ns,196404
Performance,Trie,di/2,,,37589173.0,ns,201440
Performance,Trie,di/2,,,42849352.0,ns,206476
Performance,Trie,di/2,,,41246983.0,ns,211512
Performance,Trie,di/2,,,43209317.0,ns,216548
Performance,Trie,di/2,,,40895764.0,ns,221584
Performance,Trie,di/2,,,47798846.0,ns,226620
Performance,Trie,di/2,,,47097531.0,ns,231656
Performance,Trie,di/2,,,51277723.0,ns,236692
Performance,Trie,di/2,,,48283387.0,ns,241728
Performance,Trie,di/2,,,48250865.0,ns,246764
Performance,Trie,di/2,,,48242275.0,ns,251800
Performance,Trie,di/2,,,50508453.0,ns,256836
Performance,Trie,di/2,,,50603497.0,ns,261872
Performance,Trie,di/2,,,53408729.0,ns,266908
Performance,Trie,di/2,,,55140824.0,ns,271944
Performance,Trie,di/2,,,56290979.0,ns,276980
Performance,Trie,di/2,,,55910844.0,ns,282016
Performance,Trie,di/2,,,56707827.0,ns,287052
Performance,Trie,di/2,,,58851744.0,ns,292088
Performance,Trie,di/2,,,57869734.0,ns,297124
Performance,Trie,di/2,,,59260848.0,ns,302160
Performance,Trie,di/2,,,60902993.0,ns,307196
Performance,Trie,di/2,,,63556250.0,ns,312232
Performance,Trie,di/2,,,62917110.0,ns,317268
Performance,Trie,di/2,,,60233348.0,ns,322304
Performance,Trie,di/2,,,65697172.0,ns,327340
Performance,Trie,di/2,,,61667360.0,ns,332376
Performance,Trie,di/2,,,66873889.0,ns,337412
Performance,Trie,di/2,,,72006582.0,ns,342448
Performance,Trie,di/2,,,66407113.0,ns,347484
Performance,Trie,di/2,,,67607992.0,ns,352520
Performance,Trie,di/2,,,74799703.0,ns,357556
Performance,Trie,di/2,,,76421451.0,ns,362592
Performance,Trie,di/2,,,72013541.0,ns,367628
Performance,Trie,di/2,,,73406392.0,ns,372664
Performance,Trie,di/2,,,73713093.0,ns,377700
Performance,Trie,di/2,,,72993067.0,ns,382736
Performance,Trie,di/2,,,76815584.0,ns,387772
Performance,Trie,di/2,,,75026657.0,ns,392808
Performance,Trie,di/2,,,86168183.0,ns,397844
Performance,Trie,di/2,,,80035492.0,ns,402880
Performance,Trie,di/2,,,77253248.0,ns,407916
Performance,Trie,di/2,,,80708731.0,ns,412952
Performance,Trie,di/2,,,81392981.0,ns,417988
Performance,Trie,di/2,,,80281873.0,ns,423024
Performance,Trie,di/2,,,82171008.0,ns,428060
Performance,Trie,di/2,,,83754981.0,ns,433096
Performance,Trie,di/2,,,84710723.0,ns,438132
Performance,Trie,di/2,,,88258074.0,ns,443168
Performance,Trie,di/2,,,88520220.0,ns,448204
Performance,Trie,di/2,,,84797366.0,ns,453240
Performance,Trie,di/2,,,97588275.0,ns,458276
Performance,Trie,di/2,,,93123544.0,ns,463312
Performance,Trie,di/2,,,93445505.0,ns,468348
Performance,Trie,di/2,,,91997841.0,ns,473384
Performance,Trie,di/2,,,97722929.0,ns,478420
Performance,Trie,di/2,,,96262583.0,ns,483456
Performance,Trie,di/2,,,100436584.0,ns,488492
Performance,Trie,di/2,,,92459932.0,ns,493528
Performance,Trie,di/2,,,95017674.0,ns,498564
Performance,Trie,di/2,,,98095015.0,ns,503600
