group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,imm/3,,,945290.0,ns,8651
Performance,Trie,imm/3,,,2046518.0,ns,17302
Performance,Trie,imm/3,,,2893268.0,ns,25953
Performance,Trie,imm/3,,,3935080.0,ns,34604
Performance,Trie,imm/3,,,4875436.0,ns,43255
Performance,Trie,imm/3,,,5652826.0,ns,51906
Performance,Trie,imm/3,,,6602686.0,ns,60557
Performance,Trie,imm/3,,,7991282.0,ns,69208
Performance,Trie,imm/3,,,8619918.0,ns,77859
Performance,Trie,imm/3,,,10515487.0,ns,86510
Performance,Trie,imm/3,,,11640943.0,ns,95161
Performance,Trie,imm/3,,,11387307.0,ns,103812
Performance,Trie,imm/3,,,12646538.0,ns,112463
Performance,Trie,imm/3,,,13956164.0,ns,121114
Performance,Trie,imm/3,,,14166344.0,ns,129765
Performance,Trie,imm/3,,,16030101.0,ns,138416
Performance,Trie,imm/3,,,16510929.0,ns,147067
Performance,Trie,imm/3,,,17357842.0,ns,155718
Performance,Trie,imm/3,,,18688269.0,ns,164369
Performance,Trie,imm/3,,,19446814.0,ns,173020
Performance,Trie,imm/3,,,22262839.0,ns,181671
Performance,Trie,imm/3,,,22049890.0,ns,190322
Performance,Trie,imm/3,,,22433382.0,ns,198973
Performance,Trie,imm/3,,,23674778.0,ns,207624
Performance,Trie,imm/3,,,24264312.0,ns,216275
Performance,Trie,imm/3,,,25376192.0,ns,224926
Performance,Trie,imm/3,,,26744452.0,ns,233577
Performance,Trie,imm/3,,,27290619.0,ns,242228
Performance,Trie,imm/3,,,28522360.0,ns,250879
Performance,Trie,imm/3,,,29522214.0,ns,259530
Performance,Trie,imm/3,,,30028080.0,ns,268181
Performance,Trie,imm/3,,,31484703.0,ns,276832
Performance,Trie,imm/3,,,32591158.0,ns,285483
Performance,Trie,imm/3,,,33259910.0,ns,294134
Performance,Trie,imm/3,,,34091249.0,ns,302785
Performance,Trie,imm/3,,,35765519.0,ns,311436
Performance,Trie,imm/3,,,36391762.0,ns,320087
Performance,Trie,imm/3,,,38948211.0,ns,328738
Performance,Trie,imm/3,,,37864572.0,ns,337389
Performance,Trie,imm/3,,,38856299.0,ns,346040
Performance,Trie,imm/3,,,39916362.0,ns,354691
Performance,Trie,imm/3,,,40712206.0,ns,363342
Performance,Trie,imm/3,,,42397353.0,ns,371993
Performance,Trie,imm/3,,,43050502.0,ns,380644
Performance,Trie,imm/3,,,44022412.0,ns,389295
Performance,Trie,imm/3,,,44871645.0,ns,397946
Performance,Trie,imm/3,,,46281182.0,ns,406597
Performance,Trie,imm/3,,,46388959.0,ns,415248
Performance,Trie,imm/3,,,48139666.0,ns,423899
Performance,Trie,imm/3,,,51334920.0,ns,432550
Performance,Trie,imm/3,,,49539927.0,ns,441201
Performance,Trie,imm/3,,,50129592.0,ns,449852
Performance,Trie,imm/3,,,52140354.0,ns,458503
Performance,Trie,imm/3,,,53068466.0,ns,467154
Performance,Trie,imm/3,,,53404191.0,ns,475805
Performance,Trie,imm/3,,,54197305.0,ns,484456
Performance,Trie,imm/3,,,55559385.0,ns,493107
Performance,Trie,imm/3,,,56519994.0,ns,501758
Performance,Trie,imm/3,,,58988911.0,ns,510409
Performance,Trie,imm/3,,,58543027.0,ns,519060
Performance,Trie,imm/3,,,59421536.0,ns,527711
Performance,Trie,imm/3,,,60682567.0,ns,536362
Performance,Trie,imm/3,,,62112721.0,ns,545013
Performance,Trie,imm/3,,,62777550.0,ns,553664
Performance,Trie,imm/3,,,64227192.0,ns,562315
Performance,Trie,imm/3,,,88389576.0,ns,570966
Performance,Trie,imm/3,,,95052668.0,ns,579617
Performance,Trie,imm/3,,,77879994.0,ns,588268
Performance,Trie,imm/3,,,68408871.0,ns,596919
Performance,Trie,imm/3,,,68662217.0,ns,605570
Performance,Trie,imm/3,,,70759926.0,ns,614221
Performance,Trie,imm/3,,,71811363.0,ns,622872
Performance,Trie,imm/3,,,74037142.0,ns,631523
Performance,Trie,imm/3,,,73250490.0,ns,640174
Performance,Trie,imm/3,,,73582653.0,ns,648825
Performance,Trie,imm/3,,,88944699.0,ns,657476
Performance,Trie,imm/3,,,86415019.0,ns,666127
Performance,Trie,imm/3,,,76828414.0,ns,674778
Performance,Trie,imm/3,,,78107212.0,ns,683429
Performance,Trie,imm/3,,,78940866.0,ns,692080
Performance,Trie,imm/3,,,79723137.0,ns,700731
Performance,Trie,imm/3,,,81340002.0,ns,709382
Performance,Trie,imm/3,,,83386544.0,ns,718033
Performance,Trie,imm/3,,,82685590.0,ns,726684
Performance,Trie,imm/3,,,85800167.0,ns,735335
Performance,Trie,imm/3,,,86868511.0,ns,743986
Performance,Trie,imm/3,,,85346432.0,ns,752637
Performance,Trie,imm/3,,,87293815.0,ns,761288
Performance,Trie,imm/3,,,87403131.0,ns,769939
Performance,Trie,imm/3,,,89803352.0,ns,778590
Performance,Trie,imm/3,,,89579640.0,ns,787241
Performance,Trie,imm/3,,,92785462.0,ns,795892
Performance,Trie,imm/3,,,125893319.0,ns,804543
Performance,Trie,imm/3,,,111597629.0,ns,813194
Performance,Trie,imm/3,,,120694220.0,ns,821845
Performance,Trie,imm/3,,,96423317.0,ns,830496
Performance,Trie,imm/3,,,95380296.0,ns,839147
Performance,Trie,imm/3,,,96938042.0,ns,847798
Performance,Trie,imm/3,,,97082398.0,ns,856449
Performance,Trie,imm/3,,,97418470.0,ns,865100
