group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,impe/4,,,986285.0,ns,8350
Performance,Trie,impe/4,,,2075591.0,ns,16700
Performance,Trie,impe/4,,,2922056.0,ns,25050
Performance,Trie,impe/4,,,4007173.0,ns,33400
Performance,Trie,impe/4,,,5339643.0,ns,41750
Performance,Trie,impe/4,,,6539632.0,ns,50100
Performance,Trie,impe/4,,,7431772.0,ns,58450
Performance,Trie,impe/4,,,8270860.0,ns,66800
Performance,Trie,impe/4,,,10335531.0,ns,75150
Performance,Trie,impe/4,,,11427713.0,ns,83500
Performance,Trie,impe/4,,,14087980.0,ns,91850
Performance,Trie,impe/4,,,14544321.0,ns,100200
Performance,Trie,impe/4,,,14987608.0,ns,108550
Performance,Trie,impe/4,,,15614515.0,ns,116900
Performance,Trie,impe/4,,,14536032.0,ns,125250
Performance,Trie,impe/4,,,15302216.0,ns,133600
Performance,Trie,impe/4,,,16454965.0,ns,141950
Performance,Trie,impe/4,,,17235931.0,ns,150300
Performance,Trie,impe/4,,,19657543.0,ns,158650
Performance,Trie,impe/4,,,22544379.0,ns,167000
Performance,Trie,impe/4,,,23775442.0,ns,175350
Performance,Trie,impe/4,,,24823228.0,ns,183700
Performance,Trie,impe/4,,,26513297.0,ns,192050
Performance,Trie,impe/4,,,28720538.0,ns,200400
Performance,Trie,impe/4,,,30655105.0,ns,208750
Performance,Trie,impe/4,,,31451800.0,ns,217100
Performance,Trie,impe/4,,,32922070.0,ns,225450
Performance,Trie,impe/4,,,34631302.0,ns,233800
Performance,Trie,impe/4,,,35980166.0,ns,242150
Performance,Trie,impe/4,,,37679694.0,ns,250500
Performance,Trie,impe/4,,,36667234.0,ns,258850
Performance,Trie,impe/4,,,32965707.0,ns,267200
Performance,Trie,impe/4,,,37117445.0,ns,275550
Performance,Trie,impe/4,,,43058111.0,ns,283900
Performance,Trie,impe/4,,,44912102.0,ns,292250
Performance,Trie,impe/4,,,43567090.0,ns,300600
Performance,Trie,impe/4,,,45719381.0,ns,308950
Performance,Trie,impe/4,,,43739888.0,ns,317300
Performance,Trie,impe/4,,,41584474.0,ns,325650
Performance,Trie,impe/4,,,46803389.0,ns,334000
Performance,Trie,impe/4,,,48778813.0,ns,342350
Performance,Trie,impe/4,,,50646174.0,ns,350700
Performance,Trie,impe/4,,,50016814.0,ns,359050
Performance,Trie,impe/4,,,42163588.0,ns,367400
Performance,Trie,impe/4,,,50616838.0,ns,375750
Performance,Trie,impe/4,,,54839114.0,ns,384100
Performance,Trie,impe/4,,,56560582.0,ns,392450
Performance,Trie,impe/4,,,57466614.0,ns,400800
Performance,Trie,impe/4,,,49040669.0,ns,409150
Performance,Trie,impe/4,,,47591176.0,ns,417500
Performance,Trie,impe/4,,,48739026.0,ns,425850
Performance,Trie,impe/4,,,50095883.0,ns,434200
Performance,Trie,impe/4,,,51052994.0,ns,442550
Performance,Trie,impe/4,,,59759452.0,ns,450900
Performance,Trie,impe/4,,,64063143.0,ns,459250
Performance,Trie,impe/4,,,53892825.0,ns,467600
Performance,Trie,impe/4,,,55714661.0,ns,475950
Performance,Trie,impe/4,,,63273838.0,ns,484300
Performance,Trie,impe/4,,,58869646.0,ns,492650
Performance,Trie,impe/4,,,57168033.0,ns,501000
Performance,Trie,impe/4,,,57719438.0,ns,509350
Performance,Trie,impe/4,,,59890024.0,ns,517700
Performance,Trie,impe/4,,,60803222.0,ns,526050
Performance,Trie,impe/4,,,61222963.0,ns,534400
Performance,Trie,impe/4,,,61399017.0,ns,542750
Performance,Trie,impe/4,,,64184659.0,ns,551100
Performance,Trie,impe/4,,,63523851.0,ns,559450
Performance,Trie,impe/4,,,64274885.0,ns,567800
Performance,Trie,impe/4,,,65386438.0,ns,576150
Performance,Trie,impe/4,,,77999766.0,ns,584500
Performance,Trie,impe/4,,,86439768.0,ns,592850
Performance,Trie,impe/4,,,69688694.0,ns,601200
Performance,Trie,impe/4,,,71390051.0,ns,609550
Performance,Trie,impe/4,,,71524774.0,ns,617900
Performance,Trie,impe/4,,,71990311.0,ns,626250
Performance,Trie,impe/4,,,73343445.0,ns,634600
Performance,Trie,impe/4,,,74766240.0,ns,642950
Performance,Trie,impe/4,,,75184972.0,ns,651300
Performance,Trie,impe/4,,,76054592.0,ns,659650
Performance,Trie,impe/4,,,79520310.0,ns,668000
Performance,Trie,impe/4,,,77657561.0,ns,676350
Performance,Trie,impe/4,,,78264855.0,ns,684700
Performance,Trie,impe/4,,,79820304.0,ns,693050
Performance,Trie,impe/4,,,80402928.0,ns,701400
Performance,Trie,impe/4,,,80653067.0,ns,709750
Performance,Trie,impe/4,,,83738808.0,ns,718100
Performance,Trie,impe/4,,,83519024.0,ns,726450
Performance,Trie,impe/4,,,85313666.0,ns,734800
Performance,Trie,impe/4,,,85461369.0,ns,743150
Performance,Trie,impe/4,,,85411607.0,ns,751500
Performance,Trie,impe/4,,,86490950.0,ns,759850
Performance,Trie,impe/4,,,89148311.0,ns,768200
Performance,Trie,impe/4,,,89113776.0,ns,776550
Performance,Trie,impe/4,,,88936121.0,ns,784900
Performance,Trie,impe/4,,,91002048.0,ns,793250
Performance,Trie,impe/4,,,93185559.0,ns,801600
Performance,Trie,impe/4,,,94272624.0,ns,809950
Performance,Trie,impe/4,,,116062534.0,ns,818300
Performance,Trie,impe/4,,,116883608.0,ns,826650
Performance,Trie,impe/4,,,96745432.0,ns,835000
