group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,in/2,,,942692.0,ns,12048
Performance,Trie,in/2,,,1889214.0,ns,24096
Performance,Trie,in/2,,,2834660.0,ns,36144
Performance,Trie,in/2,,,3963963.0,ns,48192
Performance,Trie,in/2,,,4972551.0,ns,60240
Performance,Trie,in/2,,,5669729.0,ns,72288
Performance,Trie,in/2,,,6939828.0,ns,84336
Performance,Trie,in/2,,,7552604.0,ns,96384
Performance,Trie,in/2,,,8952425.0,ns,108432
Performance,Trie,in/2,,,9693873.0,ns,120480
Performance,Trie,in/2,,,11003962.0,ns,132528
Performance,Trie,in/2,,,12939050.0,ns,144576
Performance,Trie,in/2,,,12966114.0,ns,156624
Performance,Trie,in/2,,,13944601.0,ns,168672
Performance,Trie,in/2,,,14919146.0,ns,180720
Performance,Trie,in/2,,,15414381.0,ns,192768
Performance,Trie,in/2,,,16830981.0,ns,204816
Performance,Trie,in/2,,,17498686.0,ns,216864
Performance,Trie,in/2,,,19265204.0,ns,228912
Performance,Trie,in/2,,,19677050.0,ns,240960
Performance,Trie,in/2,,,20638893.0,ns,253008
Performance,Trie,in/2,,,21474527.0,ns,265056
Performance,Trie,in/2,,,22271147.0,ns,277104
Performance,Trie,in/2,,,23678598.0,ns,289152
Performance,Trie,in/2,,,24804221.0,ns,301200
Performance,Trie,in/2,,,25062981.0,ns,313248
Performance,Trie,in/2,,,26904915.0,ns,325296
Performance,Trie,in/2,,,27126944.0,ns,337344
Performance,Trie,in/2,,,28425862.0,ns,349392
Performance,Trie,in/2,,,29427475.0,ns,361440
Performance,Trie,in/2,,,30696064.0,ns,373488
Performance,Trie,in/2,,,32455553.0,ns,385536
Performance,Trie,in/2,,,33189030.0,ns,397584
Performance,Trie,in/2,,,35374273.0,ns,409632
Performance,Trie,in/2,,,34549591.0,ns,421680
Performance,Trie,in/2,,,35155638.0,ns,433728
Performance,Trie,in/2,,,36305730.0,ns,445776
Performance,Trie,in/2,,,37225808.0,ns,457824
Performance,Trie,in/2,,,38372632.0,ns,469872
Performance,Trie,in/2,,,39980123.0,ns,481920
Performance,Trie,in/2,,,40351415.0,ns,493968
Performance,Trie,in/2,,,41815493.0,ns,506016
Performance,Trie,in/2,,,42699821.0,ns,518064
Performance,Trie,in/2,,,43509465.0,ns,530112
Performance,Trie,in/2,,,44927277.0,ns,542160
Performance,Trie,in/2,,,45852699.0,ns,554208
Performance,Trie,in/2,,,48511635.0,ns,566256
Performance,Trie,in/2,,,47912962.0,ns,578304
Performance,Trie,in/2,,,48404013.0,ns,590352
Performance,Trie,in/2,,,50921363.0,ns,602400
Performance,Trie,in/2,,,50994765.0,ns,614448
Performance,Trie,in/2,,,51616067.0,ns,626496
Performance,Trie,in/2,,,52300277.0,ns,638544
Performance,Trie,in/2,,,53367345.0,ns,650592
Performance,Trie,in/2,,,53505513.0,ns,662640
Performance,Trie,in/2,,,56778663.0,ns,674688
Performance,Trie,in/2,,,57692149.0,ns,686736
Performance,Trie,in/2,,,57627025.0,ns,698784
Performance,Trie,in/2,,,58823307.0,ns,710832
Performance,Trie,in/2,,,61874769.0,ns,722880
Performance,Trie,in/2,,,63567337.0,ns,734928
Performance,Trie,in/2,,,70254885.0,ns,746976
Performance,Trie,in/2,,,62290032.0,ns,759024
Performance,Trie,in/2,,,63504102.0,ns,771072
Performance,Trie,in/2,,,66020698.0,ns,783120
Performance,Trie,in/2,,,65162107.0,ns,795168
Performance,Trie,in/2,,,66249315.0,ns,807216
Performance,Trie,in/2,,,66105228.0,ns,819264
Performance,Trie,in/2,,,67255916.0,ns,831312
Performance,Trie,in/2,,,69568556.0,ns,843360
Performance,Trie,in/2,,,71450073.0,ns,855408
Performance,Trie,in/2,,,73922487.0,ns,867456
Performance,Trie,in/2,,,72214365.0,ns,879504
Performance,Trie,in/2,,,73054698.0,ns,891552
Performance,Trie,in/2,,,75271491.0,ns,903600
Performance,Trie,in/2,,,75695953.0,ns,915648
Performance,Trie,in/2,,,77330274.0,ns,927696
Performance,Trie,in/2,,,78043709.0,ns,939744
Performance,Trie,in/2,,,81277918.0,ns,951792
Performance,Trie,in/2,,,79151504.0,ns,963840
Performance,Trie,in/2,,,79683724.0,ns,975888
Performance,Trie,in/2,,,81713833.0,ns,987936
Performance,Trie,in/2,,,82569390.0,ns,999984
Performance,Trie,in/2,,,83034920.0,ns,1012032
Performance,Trie,in/2,,,85217551.0,ns,1024080
Performance,Trie,in/2,,,86407773.0,ns,1036128
Performance,Trie,in/2,,,87455175.0,ns,1048176
Performance,Trie,in/2,,,88601409.0,ns,1060224
Performance,Trie,in/2,,,90059975.0,ns,1072272
Performance,Trie,in/2,,,90203659.0,ns,1084320
Performance,Trie,in/2,,,91883160.0,ns,1096368
Performance,Trie,in/2,,,92567031.0,ns,1108416
Performance,Trie,in/2,,,93263999.0,ns,1120464
Performance,Trie,in/2,,,94410911.0,ns,1132512
Performance,Trie,in/2,,,94458577.0,ns,1144560
Performance,Trie,in/2,,,98050875.0,ns,1156608
Performance,Trie,in/2,,,97977259.0,ns,1168656
Performance,Trie,in/2,,,99095378.0,ns,1180704
Performance,Trie,in/2,,,97707166.0,ns,1192752
Performance,Trie,in/2,,,99390283.0,ns,1204800
