group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,inter/5,,,929092.0,ns,3887
Performance,Trie,inter/5,,,1854247.0,ns,7774
Performance,Trie,inter/5,,,2781039.0,ns,11661
Performance,Trie,inter/5,,,3751834.0,ns,15548
Performance,Trie,inter/5,,,4977718.0,ns,19435
Performance,Trie,inter/5,,,5817761.0,ns,23322
Performance,Trie,inter/5,,,6536035.0,ns,27209
Performance,Trie,inter/5,,,7955042.0,ns,31096
Performance,Trie,inter/5,,,9126589.0,ns,34983
Performance,Trie,inter/5,,,11419769.0,ns,38870
Performance,Trie,inter/5,,,12327878.0,ns,42757
Performance,Trie,inter/5,,,11840700.0,ns,46644
Performance,Trie,inter/5,,,13340698.0,ns,50531
Performance,Trie,inter/5,,,13117178.0,ns,54418
Performance,Trie,inter/5,,,14159420.0,ns,58305
Performance,Trie,inter/5,,,14970315.0,ns,62192
Performance,Trie,inter/5,,,16007142.0,ns,66079
Performance,Trie,inter/5,,,17430788.0,ns,69966
Performance,Trie,inter/5,,,17629600.0,ns,73853
Performance,Trie,inter/5,,,19289610.0,ns,77740
Performance,Trie,inter/5,,,20171663.0,ns,81627
Performance,Trie,inter/5,,,20865894.0,ns,85514
Performance,Trie,inter/5,,,25394628.0,ns,89401
Performance,Trie,inter/5,,,28627751.0,ns,93288
Performance,Trie,inter/5,,,32105622.0,ns,97175
Performance,Trie,inter/5,,,30538613.0,ns,101062
Performance,Trie,inter/5,,,30504242.0,ns,104949
Performance,Trie,inter/5,,,31133230.0,ns,108836
Performance,Trie,inter/5,,,27781028.0,ns,112723
Performance,Trie,inter/5,,,28309454.0,ns,116610
Performance,Trie,inter/5,,,30351886.0,ns,120497
Performance,Trie,inter/5,,,30754898.0,ns,124384
Performance,Trie,inter/5,,,31170953.0,ns,128271
Performance,Trie,inter/5,,,33936090.0,ns,132158
Performance,Trie,inter/5,,,32784466.0,ns,136045
Performance,Trie,inter/5,,,33750425.0,ns,139932
Performance,Trie,inter/5,,,34416534.0,ns,143819
Performance,Trie,inter/5,,,35631091.0,ns,147706
Performance,Trie,inter/5,,,37766659.0,ns,151593
Performance,Trie,inter/5,,,37715648.0,ns,155480
Performance,Trie,inter/5,,,38612939.0,ns,159367
Performance,Trie,inter/5,,,39593338.0,ns,163254
Performance,Trie,inter/5,,,40056741.0,ns,167141
Performance,Trie,inter/5,,,41558020.0,ns,171028
Performance,Trie,inter/5,,,42764688.0,ns,174915
Performance,Trie,inter/5,,,42914394.0,ns,178802
Performance,Trie,inter/5,,,45411711.0,ns,182689
Performance,Trie,inter/5,,,44765994.0,ns,186576
Performance,Trie,inter/5,,,46023675.0,ns,190463
Performance,Trie,inter/5,,,46815537.0,ns,194350
Performance,Trie,inter/5,,,53539510.0,ns,198237
Performance,Trie,inter/5,,,49873319.0,ns,202124
Performance,Trie,inter/5,,,50992288.0,ns,206011
Performance,Trie,inter/5,,,51546048.0,ns,209898
Performance,Trie,inter/5,,,52105946.0,ns,213785
Performance,Trie,inter/5,,,52528316.0,ns,217672
Performance,Trie,inter/5,,,54868273.0,ns,221559
Performance,Trie,inter/5,,,53977212.0,ns,225446
Performance,Trie,inter/5,,,58390727.0,ns,229333
Performance,Trie,inter/5,,,57115583.0,ns,233220
Performance,Trie,inter/5,,,57920357.0,ns,237107
Performance,Trie,inter/5,,,62083726.0,ns,240994
Performance,Trie,inter/5,,,59417501.0,ns,244881
Performance,Trie,inter/5,,,60515524.0,ns,248768
Performance,Trie,inter/5,,,62644112.0,ns,252655
Performance,Trie,inter/5,,,63544208.0,ns,256542
Performance,Trie,inter/5,,,62556803.0,ns,260429
Performance,Trie,inter/5,,,64831464.0,ns,264316
Performance,Trie,inter/5,,,64889530.0,ns,268203
Performance,Trie,inter/5,,,66752442.0,ns,272090
Performance,Trie,inter/5,,,67273431.0,ns,275977
Performance,Trie,inter/5,,,67540707.0,ns,279864
Performance,Trie,inter/5,,,70740690.0,ns,283751
Performance,Trie,inter/5,,,69262269.0,ns,287638
Performance,Trie,inter/5,,,70531957.0,ns,291525
Performance,Trie,inter/5,,,71617277.0,ns,295412
Performance,Trie,inter/5,,,72584163.0,ns,299299
Performance,Trie,inter/5,,,72978391.0,ns,303186
Performance,Trie,inter/5,,,74764922.0,ns,307073
Performance,Trie,inter/5,,,78412838.0,ns,310960
Performance,Trie,inter/5,,,76037150.0,ns,314847
Performance,Trie,inter/5,,,77218501.0,ns,318734
Performance,Trie,inter/5,,,78907206.0,ns,322621
Performance,Trie,inter/5,,,80241259.0,ns,326508
Performance,Trie,inter/5,,,79822044.0,ns,330395
Performance,Trie,inter/5,,,84314292.0,ns,334282
Performance,Trie,inter/5,,,84679618.0,ns,338169
Performance,Trie,inter/5,,,83046549.0,ns,342056
Performance,Trie,inter/5,,,84409737.0,ns,345943
Performance,Trie,inter/5,,,84232418.0,ns,349830
Performance,Trie,inter/5,,,85907805.0,ns,353717
Performance,Trie,inter/5,,,86451436.0,ns,357604
Performance,Trie,inter/5,,,88837765.0,ns,361491
Performance,Trie,inter/5,,,90148049.0,ns,365378
Performance,Trie,inter/5,,,88901779.0,ns,369265
Performance,Trie,inter/5,,,91197965.0,ns,373152
Performance,Trie,inter/5,,,91570732.0,ns,377039
Performance,Trie,inter/5,,,96790594.0,ns,380926
Performance,Trie,inter/5,,,93906982.0,ns,384813
Performance,Trie,inter/5,,,95246068.0,ns,388700
