group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,mid/3,,,1097647.0,ns,8380
Performance,Trie,mid/3,,,1960739.0,ns,16760
Performance,Trie,mid/3,,,2941527.0,ns,25140
Performance,Trie,mid/3,,,3708347.0,ns,33520
Performance,Trie,mid/3,,,4693053.0,ns,41900
Performance,Trie,mid/3,,,5871873.0,ns,50280
Performance,Trie,mid/3,,,6703043.0,ns,58660
Performance,Trie,mid/3,,,7781448.0,ns,67040
Performance,Trie,mid/3,,,11806861.0,ns,75420
Performance,Trie,mid/3,,,10028305.0,ns,83800
Performance,Trie,mid/3,,,10692089.0,ns,92180
Performance,Trie,mid/3,,,13885618.0,ns,100560
Performance,Trie,mid/3,,,15746714.0,ns,108940
Performance,Trie,mid/3,,,16360245.0,ns,117320
Performance,Trie,mid/3,,,17098272.0,ns,125700
Performance,Trie,mid/3,,,16307107.0,ns,134080
Performance,Trie,mid/3,,,16348219.0,ns,142460
Performance,Trie,mid/3,,,17132650.0,ns,150840
Performance,Trie,mid/3,,,18166797.0,ns,159220
Performance,Trie,mid/3,,,19312952.0,ns,167600
Performance,Trie,mid/3,,,19911142.0,ns,175980
Performance,Trie,mid/3,,,20968372.0,ns,184360
Performance,Trie,mid/3,,,22469104.0,ns,192740
Performance,Trie,mid/3,,,22763836.0,ns,201120
Performance,Trie,mid/3,,,23999836.0,ns,209500
Performance,Trie,mid/3,,,24959375.0,ns,217880
Performance,Trie,mid/3,,,25974064.0,ns,226260
Performance,Trie,mid/3,,,26896772.0,ns,234640
Performance,Trie,mid/3,,,27951609.0,ns,243020
Performance,Trie,mid/3,,,30584329.0,ns,251400
Performance,Trie,mid/3,,,30820491.0,ns,259780
Performance,Trie,mid/3,,,30522209.0,ns,268160
Performance,Trie,mid/3,,,31785988.0,ns,276540
Performance,Trie,mid/3,,,32456509.0,ns,284920
Performance,Trie,mid/3,,,33082258.0,ns,293300
Performance,Trie,mid/3,,,34063356.0,ns,301680
Performance,Trie,mid/3,,,35355880.0,ns,310060
Performance,Trie,mid/3,,,36299469.0,ns,318440
Performance,Trie,mid/3,,,37156013.0,ns,326820
Performance,Trie,mid/3,,,38787179.0,ns,335200
Performance,Trie,mid/3,,,40275949.0,ns,343580
Performance,Trie,mid/3,,,40658001.0,ns,351960
Performance,Trie,mid/3,,,42619863.0,ns,360340
Performance,Trie,mid/3,,,42991216.0,ns,368720
Performance,Trie,mid/3,,,43128379.0,ns,377100
Performance,Trie,mid/3,,,44165311.0,ns,385480
Performance,Trie,mid/3,,,44894817.0,ns,393860
Performance,Trie,mid/3,,,46215718.0,ns,402240
Performance,Trie,mid/3,,,46640255.0,ns,410620
Performance,Trie,mid/3,,,48173062.0,ns,419000
Performance,Trie,mid/3,,,50674716.0,ns,427380
Performance,Trie,mid/3,,,51570205.0,ns,435760
Performance,Trie,mid/3,,,51269263.0,ns,444140
Performance,Trie,mid/3,,,51665137.0,ns,452520
Performance,Trie,mid/3,,,55685880.0,ns,460900
Performance,Trie,mid/3,,,54200293.0,ns,469280
Performance,Trie,mid/3,,,54910048.0,ns,477660
Performance,Trie,mid/3,,,59197020.0,ns,486040
Performance,Trie,mid/3,,,63342032.0,ns,494420
Performance,Trie,mid/3,,,57294440.0,ns,502800
Performance,Trie,mid/3,,,58370939.0,ns,511180
Performance,Trie,mid/3,,,60122666.0,ns,519560
Performance,Trie,mid/3,,,62953843.0,ns,527940
Performance,Trie,mid/3,,,62798072.0,ns,536320
Performance,Trie,mid/3,,,62705956.0,ns,544700
Performance,Trie,mid/3,,,62773932.0,ns,553080
Performance,Trie,mid/3,,,63783676.0,ns,561460
Performance,Trie,mid/3,,,64814131.0,ns,569840
Performance,Trie,mid/3,,,65684398.0,ns,578220
Performance,Trie,mid/3,,,67223969.0,ns,586600
Performance,Trie,mid/3,,,70184134.0,ns,594980
Performance,Trie,mid/3,,,68811344.0,ns,603360
Performance,Trie,mid/3,,,70098153.0,ns,611740
Performance,Trie,mid/3,,,70896686.0,ns,620120
Performance,Trie,mid/3,,,71609401.0,ns,628500
Performance,Trie,mid/3,,,75021066.0,ns,636880
Performance,Trie,mid/3,,,74565867.0,ns,645260
Performance,Trie,mid/3,,,77700852.0,ns,653640
Performance,Trie,mid/3,,,76405180.0,ns,662020
Performance,Trie,mid/3,,,75813035.0,ns,670400
Performance,Trie,mid/3,,,77585227.0,ns,678780
Performance,Trie,mid/3,,,79627501.0,ns,687160
Performance,Trie,mid/3,,,80330100.0,ns,695540
Performance,Trie,mid/3,,,79725549.0,ns,703920
Performance,Trie,mid/3,,,83699472.0,ns,712300
Performance,Trie,mid/3,,,82104736.0,ns,720680
Performance,Trie,mid/3,,,83472702.0,ns,729060
Performance,Trie,mid/3,,,88644154.0,ns,737440
Performance,Trie,mid/3,,,87161961.0,ns,745820
Performance,Trie,mid/3,,,86172894.0,ns,754200
Performance,Trie,mid/3,,,87251102.0,ns,762580
Performance,Trie,mid/3,,,89365003.0,ns,770960
Performance,Trie,mid/3,,,89889282.0,ns,779340
Performance,Trie,mid/3,,,102316943.0,ns,787720
Performance,Trie,mid/3,,,127837014.0,ns,796100
Performance,Trie,mid/3,,,96996332.0,ns,804480
Performance,Trie,mid/3,,,94515900.0,ns,812860
Performance,Trie,mid/3,,,104614654.0,ns,821240
Performance,Trie,mid/3,,,106503771.0,ns,829620
Performance,Trie,mid/3,,,103062900.0,ns,838000
