group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,non/3,,,942043.0,ns,8526
Performance,Trie,non/3,,,2763735.0,ns,17052
Performance,Trie,non/3,,,3233786.0,ns,25578
Performance,Trie,non/3,,,3783395.0,ns,34104
Performance,Trie,non/3,,,4774298.0,ns,42630
Performance,Trie,non/3,,,5758324.0,ns,51156
Performance,Trie,non/3,,,6665049.0,ns,59682
Performance,Trie,non/3,,,7844436.0,ns,68208
Performance,Trie,non/3,,,8648530.0,ns,76734
Performance,Trie,non/3,,,9618499.0,ns,85260
Performance,Trie,non/3,,,10895653.0,ns,93786
Performance,Trie,non/3,,,11235154.0,ns,102312
Performance,Trie,non/3,,,12686389.0,ns,110838
Performance,Trie,non/3,,,13686569.0,ns,119364
Performance,Trie,non/3,,,14193667.0,ns,127890
Performance,Trie,non/3,,,15136115.0,ns,136416
Performance,Trie,non/3,,,16091940.0,ns,144942
Performance,Trie,non/3,,,16991339.0,ns,153468
Performance,Trie,non/3,,,18355790.0,ns,161994
Performance,Trie,non/3,,,21267276.0,ns,170520
Performance,Trie,non/3,,,20043089.0,ns,179046
Performance,Trie,non/3,,,20998743.0,ns,187572
Performance,Trie,non/3,,,22534231.0,ns,196098
Performance,Trie,non/3,,,22584784.0,ns,204624
Performance,Trie,non/3,,,24193905.0,ns,213150
Performance,Trie,non/3,,,25343963.0,ns,221676
Performance,Trie,non/3,,,27203533.0,ns,230202
Performance,Trie,non/3,,,27174746.0,ns,238728
Performance,Trie,non/3,,,27459465.0,ns,247254
Performance,Trie,non/3,,,32764177.0,ns,255780
Performance,Trie,non/3,,,30383663.0,ns,264306
Performance,Trie,non/3,,,31286812.0,ns,272832
Performance,Trie,non/3,,,32133657.0,ns,281358
Performance,Trie,non/3,,,32679517.0,ns,289884
Performance,Trie,non/3,,,35720790.0,ns,298410
Performance,Trie,non/3,,,35858788.0,ns,306936
Performance,Trie,non/3,,,36725407.0,ns,315462
Performance,Trie,non/3,,,37466678.0,ns,323988
Performance,Trie,non/3,,,37944508.0,ns,332514
Performance,Trie,non/3,,,39141819.0,ns,341040
Performance,Trie,non/3,,,39832906.0,ns,349566
Performance,Trie,non/3,,,41379839.0,ns,358092
Performance,Trie,non/3,,,41999143.0,ns,366618
Performance,Trie,non/3,,,42900349.0,ns,375144
Performance,Trie,non/3,,,43324763.0,ns,383670
Performance,Trie,non/3,,,45301503.0,ns,392196
Performance,Trie,non/3,,,45886171.0,ns,400722
Performance,Trie,non/3,,,47595292.0,ns,409248
Performance,Trie,non/3,,,50428316.0,ns,417774
Performance,Trie,non/3,,,49124218.0,ns,426300
Performance,Trie,non/3,,,50343577.0,ns,434826
Performance,Trie,non/3,,,50460028.0,ns,443352
Performance,Trie,non/3,,,53571227.0,ns,451878
Performance,Trie,non/3,,,55721547.0,ns,460404
Performance,Trie,non/3,,,54562743.0,ns,468930
Performance,Trie,non/3,,,54167803.0,ns,477456
Performance,Trie,non/3,,,55507538.0,ns,485982
Performance,Trie,non/3,,,59019695.0,ns,494508
Performance,Trie,non/3,,,59436055.0,ns,503034
Performance,Trie,non/3,,,58326635.0,ns,511560
Performance,Trie,non/3,,,59919865.0,ns,520086
Performance,Trie,non/3,,,61567500.0,ns,528612
Performance,Trie,non/3,,,62547190.0,ns,537138
Performance,Trie,non/3,,,63543916.0,ns,545664
Performance,Trie,non/3,,,63332105.0,ns,554190
Performance,Trie,non/3,,,64053948.0,ns,562716
Performance,Trie,non/3,,,66487264.0,ns,571242
Performance,Trie,non/3,,,66645830.0,ns,579768
Performance,Trie,non/3,,,67332413.0,ns,588294
Performance,Trie,non/3,,,68631273.0,ns,596820
Performance,Trie,non/3,,,69725978.0,ns,605346
Performance,Trie,non/3,,,69910079.0,ns,613872
Performance,Trie,non/3,,,73701745.0,ns,622398
Performance,Trie,non/3,,,72980605.0,ns,630924
Performance,Trie,non/3,,,72633090.0,ns,639450
Performance,Trie,non/3,,,76006907.0,ns,647976
Performance,Trie,non/3,,,75022608.0,ns,656502
Performance,Trie,non/3,,,75973111.0,ns,665028
Performance,Trie,non/3,,,78193479.0,ns,673554
Performance,Trie,non/3,,,78098246.0,ns,682080
Performance,Trie,non/3,,,82081621.0,ns,690606
Performance,Trie,non/3,,,79649205.0,ns,699132
Performance,Trie,non/3,,,83625487.0,ns,707658
Performance,Trie,non/3,,,84529862.0,ns,716184
Performance,Trie,non/3,,,82798623.0,ns,724710
Performance,Trie,non/3,,,85218980.0,ns,733236
Performance,Trie,non/3,,,103636349.0,ns,741762
Performance,Trie,non/3,,,93596234.0,ns,750288
Performance,Trie,non/3,,,87083183.0,ns,758814
Performance,Trie,non/3,,,87675159.0,ns,767340
Performance,Trie,non/3,,,90823791.0,ns,775866
Performance,Trie,non/3,,,89487932.0,ns,784392
Performance,Trie,non/3,,,89690763.0,ns,792918
Performance,Trie,non/3,,,90964787.0,ns,801444
Performance,Trie,non/3,,,91559918.0,ns,809970
Performance,Trie,non/3,,,92192363.0,ns,818496
Performance,Trie,non/3,,,93719032.0,ns,827022
Performance,Trie,non/3,,,97228091.0,ns,835548
Performance,Trie,non/3,,,97557315.0,ns,844074
Performance,Trie,non/3,,,98871727.0,ns,852600
