group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,over/4,,,960390.0,ns,8690
Performance,Trie,over/4,,,2186271.0,ns,17380
Performance,Trie,over/4,,,2880601.0,ns,26070
Performance,Trie,over/4,,,3962919.0,ns,34760
Performance,Trie,over/4,,,5050652.0,ns,43450
Performance,Trie,over/4,,,5991757.0,ns,52140
Performance,Trie,over/4,,,6699895.0,ns,60830
Performance,Trie,over/4,,,8073734.0,ns,69520
Performance,Trie,over/4,,,8653511.0,ns,78210
Performance,Trie,over/4,,,9837051.0,ns,86900
Performance,Trie,over/4,,,11087104.0,ns,95590
Performance,Trie,over/4,,,11981503.0,ns,104280
Performance,Trie,over/4,,,12695626.0,ns,112970
Performance,Trie,over/4,,,13620609.0,ns,121660
Performance,Trie,over/4,,,14619466.0,ns,130350
Performance,Trie,over/4,,,17503558.0,ns,139040
Performance,Trie,over/4,,,17208922.0,ns,147730
Performance,Trie,over/4,,,17451432.0,ns,156420
Performance,Trie,over/4,,,18495964.0,ns,165110
Performance,Trie,over/4,,,19474522.0,ns,173800
Performance,Trie,over/4,,,20542418.0,ns,182490
Performance,Trie,over/4,,,21393236.0,ns,191180
Performance,Trie,over/4,,,22376793.0,ns,199870
Performance,Trie,over/4,,,24092680.0,ns,208560
Performance,Trie,over/4,,,24460207.0,ns,217250
Performance,Trie,over/4,,,25622304.0,ns,225940
Performance,Trie,over/4,,,26471031.0,ns,234630
Performance,Trie,over/4,,,27518912.0,ns,243320
Performance,Trie,over/4,,,28645198.0,ns,252010
Performance,Trie,over/4,,,29431810.0,ns,260700
Performance,Trie,over/4,,,30263042.0,ns,269390
Performance,Trie,over/4,,,31309256.0,ns,278080
Performance,Trie,over/4,,,34214713.0,ns,286770
Performance,Trie,over/4,,,34076329.0,ns,295460
Performance,Trie,over/4,,,33776285.0,ns,304150
Performance,Trie,over/4,,,37336780.0,ns,312840
Performance,Trie,over/4,,,36034988.0,ns,321530
Performance,Trie,over/4,,,37119497.0,ns,330220
Performance,Trie,over/4,,,38692970.0,ns,338910
Performance,Trie,over/4,,,39823392.0,ns,347600
Performance,Trie,over/4,,,40758443.0,ns,356290
Performance,Trie,over/4,,,40969911.0,ns,364980
Performance,Trie,over/4,,,42129978.0,ns,373670
Performance,Trie,over/4,,,43210250.0,ns,382360
Performance,Trie,over/4,,,44632563.0,ns,391050
Performance,Trie,over/4,,,45090507.0,ns,399740
Performance,Trie,over/4,,,46123828.0,ns,408430
Performance,Trie,over/4,,,49750737.0,ns,417120
Performance,Trie,over/4,,,47548390.0,ns,425810
Performance,Trie,over/4,,,49087630.0,ns,434500
Performance,Trie,over/4,,,50468405.0,ns,443190
Performance,Trie,over/4,,,51086885.0,ns,451880
Performance,Trie,over/4,,,52001259.0,ns,460570
Performance,Trie,over/4,,,52968352.0,ns,469260
Performance,Trie,over/4,,,53638318.0,ns,477950
Performance,Trie,over/4,,,54657529.0,ns,486640
Performance,Trie,over/4,,,55653181.0,ns,495330
Performance,Trie,over/4,,,58875073.0,ns,504020
Performance,Trie,over/4,,,57588339.0,ns,512710
Performance,Trie,over/4,,,59137432.0,ns,521400
Performance,Trie,over/4,,,60734304.0,ns,530090
Performance,Trie,over/4,,,61710172.0,ns,538780
Performance,Trie,over/4,,,61962514.0,ns,547470
Performance,Trie,over/4,,,63594601.0,ns,556160
Performance,Trie,over/4,,,63797001.0,ns,564850
Performance,Trie,over/4,,,66606163.0,ns,573540
Performance,Trie,over/4,,,65974794.0,ns,582230
Performance,Trie,over/4,,,68139238.0,ns,590920
Performance,Trie,over/4,,,69400091.0,ns,599610
Performance,Trie,over/4,,,67917401.0,ns,608300
Performance,Trie,over/4,,,70052066.0,ns,616990
Performance,Trie,over/4,,,70288008.0,ns,625680
Performance,Trie,over/4,,,73322626.0,ns,634370
Performance,Trie,over/4,,,72682238.0,ns,643060
Performance,Trie,over/4,,,73299092.0,ns,651750
Performance,Trie,over/4,,,75020903.0,ns,660440
Performance,Trie,over/4,,,76580587.0,ns,669130
Performance,Trie,over/4,,,77143463.0,ns,677820
Performance,Trie,over/4,,,77550745.0,ns,686510
Performance,Trie,over/4,,,81271135.0,ns,695200
Performance,Trie,over/4,,,79843611.0,ns,703890
Performance,Trie,over/4,,,80736493.0,ns,712580
Performance,Trie,over/4,,,85324950.0,ns,721270
Performance,Trie,over/4,,,86179991.0,ns,729960
Performance,Trie,over/4,,,85200711.0,ns,738650
Performance,Trie,over/4,,,87303767.0,ns,747340
Performance,Trie,over/4,,,86887298.0,ns,756030
Performance,Trie,over/4,,,86804250.0,ns,764720
Performance,Trie,over/4,,,88455693.0,ns,773410
Performance,Trie,over/4,,,88488061.0,ns,782100
Performance,Trie,over/4,,,88546938.0,ns,790790
Performance,Trie,over/4,,,92530323.0,ns,799480
Performance,Trie,over/4,,,91739846.0,ns,808170
Performance,Trie,over/4,,,92835236.0,ns,816860
Performance,Trie,over/4,,,92070550.0,ns,825550
Performance,Trie,over/4,,,94415171.0,ns,834240
Performance,Trie,over/4,,,96566349.0,ns,842930
Performance,Trie,over/4,,,96679058.0,ns,851620
Performance,Trie,over/4,,,98405428.0,ns,860310
Performance,Trie,over/4,,,99360659.0,ns,869000
