group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,pre/3,,,922559.0,ns,8506
Performance,Trie,pre/3,,,1842307.0,ns,17012
Performance,Trie,pre/3,,,2766084.0,ns,25518
Performance,Trie,pre/3,,,3794190.0,ns,34024
Performance,Trie,pre/3,,,4716313.0,ns,42530
Performance,Trie,pre/3,,,5829904.0,ns,51036
Performance,Trie,pre/3,,,6796549.0,ns,59542
Performance,Trie,pre/3,,,7673887.0,ns,68048
Performance,Trie,pre/3,,,8557097.0,ns,76554
Performance,Trie,pre/3,,,9580060.0,ns,85060
Performance,Trie,pre/3,,,10986628.0,ns,93566
Performance,Trie,pre/3,,,12359380.0,ns,102072
Performance,Trie,pre/3,,,13850912.0,ns,110578
Performance,Trie,pre/3,,,14868619.0,ns,119084
Performance,Trie,pre/3,,,14804816.0,ns,127590
Performance,Trie,pre/3,,,15210183.0,ns,136096
Performance,Trie,pre/3,,,16310701.0,ns,144602
Performance,Trie,pre/3,,,17430947.0,ns,153108
Performance,Trie,pre/3,,,18440153.0,ns,161614
Performance,Trie,pre/3,,,19181845.0,ns,170120
Performance,Trie,pre/3,,,20388452.0,ns,178626
Performance,Trie,pre/3,,,21227365.0,ns,187132
Performance,Trie,pre/3,,,21633767.0,ns,195638
Performance,Trie,pre/3,,,23311880.0,ns,204144
Performance,Trie,pre/3,,,25557613.0,ns,212650
Performance,Trie,pre/3,,,25081078.0,ns,221156
Performance,Trie,pre/3,,,25279100.0,ns,229662
Performance,Trie,pre/3,,,27099149.0,ns,238168
Performance,Trie,pre/3,,,27459576.0,ns,246674
Performance,Trie,pre/3,,,28964849.0,ns,255180
Performance,Trie,pre/3,,,29658321.0,ns,263686
Performance,Trie,pre/3,,,31270610.0,ns,272192
Performance,Trie,pre/3,,,32094362.0,ns,280698
Performance,Trie,pre/3,,,31890229.0,ns,289204
Performance,Trie,pre/3,,,34113934.0,ns,297710
Performance,Trie,pre/3,,,34955413.0,ns,306216
Performance,Trie,pre/3,,,35179335.0,ns,314722
Performance,Trie,pre/3,,,36686062.0,ns,323228
Performance,Trie,pre/3,,,37190140.0,ns,331734
Performance,Trie,pre/3,,,38293990.0,ns,340240
Performance,Trie,pre/3,,,41998334.0,ns,348746
Performance,Trie,pre/3,,,42826076.0,ns,357252
Performance,Trie,pre/3,,,41908283.0,ns,365758
Performance,Trie,pre/3,,,43343391.0,ns,374264
Performance,Trie,pre/3,,,43515739.0,ns,382770
Performance,Trie,pre/3,,,46164546.0,ns,391276
Performance,Trie,pre/3,,,45387259.0,ns,399782
Performance,Trie,pre/3,,,46400497.0,ns,408288
Performance,Trie,pre/3,,,46713085.0,ns,416794
Performance,Trie,pre/3,,,48232799.0,ns,425300
Performance,Trie,pre/3,,,51913862.0,ns,433806
Performance,Trie,pre/3,,,52043052.0,ns,442312
Performance,Trie,pre/3,,,51087364.0,ns,450818
Performance,Trie,pre/3,,,51924865.0,ns,459324
Performance,Trie,pre/3,,,53262470.0,ns,467830
Performance,Trie,pre/3,,,53448951.0,ns,476336
Performance,Trie,pre/3,,,54614474.0,ns,484842
Performance,Trie,pre/3,,,55823079.0,ns,493348
Performance,Trie,pre/3,,,56175769.0,ns,501854
Performance,Trie,pre/3,,,57526364.0,ns,510360
Performance,Trie,pre/3,,,60200373.0,ns,518866
Performance,Trie,pre/3,,,59625618.0,ns,527372
Performance,Trie,pre/3,,,60266262.0,ns,535878
Performance,Trie,pre/3,,,61471467.0,ns,544384
Performance,Trie,pre/3,,,61918186.0,ns,552890
Performance,Trie,pre/3,,,62544814.0,ns,561396
Performance,Trie,pre/3,,,63407554.0,ns,569902
Performance,Trie,pre/3,,,64811464.0,ns,578408
Performance,Trie,pre/3,,,67502563.0,ns,586914
Performance,Trie,pre/3,,,67282590.0,ns,595420
Performance,Trie,pre/3,,,67029606.0,ns,603926
Performance,Trie,pre/3,,,69459816.0,ns,612432
Performance,Trie,pre/3,,,70073045.0,ns,620938
Performance,Trie,pre/3,,,70757173.0,ns,629444
Performance,Trie,pre/3,,,71965801.0,ns,637950
Performance,Trie,pre/3,,,74823001.0,ns,646456
Performance,Trie,pre/3,,,74151028.0,ns,654962
Performance,Trie,pre/3,,,74390923.0,ns,663468
Performance,Trie,pre/3,,,75843850.0,ns,671974
Performance,Trie,pre/3,,,78812940.0,ns,680480
Performance,Trie,pre/3,,,77535251.0,ns,688986
Performance,Trie,pre/3,,,80922013.0,ns,697492
Performance,Trie,pre/3,,,83813604.0,ns,705998
Performance,Trie,pre/3,,,81154092.0,ns,714504
Performance,Trie,pre/3,,,81883850.0,ns,723010
Performance,Trie,pre/3,,,81971144.0,ns,731516
Performance,Trie,pre/3,,,83539324.0,ns,740022
Performance,Trie,pre/3,,,84092454.0,ns,748528
Performance,Trie,pre/3,,,89681546.0,ns,757034
Performance,Trie,pre/3,,,87479404.0,ns,765540
Performance,Trie,pre/3,,,88368775.0,ns,774046
Performance,Trie,pre/3,,,90032415.0,ns,782552
Performance,Trie,pre/3,,,91062701.0,ns,791058
Performance,Trie,pre/3,,,93386469.0,ns,799564
Performance,Trie,pre/3,,,92546792.0,ns,808070
Performance,Trie,pre/3,,,93629190.0,ns,816576
Performance,Trie,pre/3,,,94998938.0,ns,825082
Performance,Trie,pre/3,,,97448338.0,ns,833588
Performance,Trie,pre/3,,,99749865.0,ns,842094
Performance,Trie,pre/3,,,96376065.0,ns,850600
