group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,re/2,,,916878.0,ns,11622
Performance,Trie,re/2,,,1918189.0,ns,23244
Performance,Trie,re/2,,,2735507.0,ns,34866
Performance,Trie,re/2,,,3776158.0,ns,46488
Performance,Trie,re/2,,,4881411.0,ns,58110
Performance,Trie,re/2,,,5893282.0,ns,69732
Performance,Trie,re/2,,,6804582.0,ns,81354
Performance,Trie,re/2,,,7864360.0,ns,92976
Performance,Trie,re/2,,,8695267.0,ns,104598
Performance,Trie,re/2,,,11108821.0,ns,116220
Performance,Trie,re/2,,,11586116.0,ns,127842
Performance,Trie,re/2,,,12030139.0,ns,139464
Performance,Trie,re/2,,,12637587.0,ns,151086
Performance,Trie,re/2,,,14915297.0,ns,162708
Performance,Trie,re/2,,,14576032.0,ns,174330
Performance,Trie,re/2,,,15805289.0,ns,185952
Performance,Trie,re/2,,,16801974.0,ns,197574
Performance,Trie,re/2,,,17245781.0,ns,209196
Performance,Trie,re/2,,,18894334.0,ns,220818
Performance,Trie,re/2,,,19081516.0,ns,232440
Performance,Trie,re/2,,,20062033.0,ns,244062
Performance,Trie,re/2,,,21027024.0,ns,255684
Performance,Trie,re/2,,,21826433.0,ns,267306
Performance,Trie,re/2,,,23228190.0,ns,278928
Performance,Trie,re/2,,,24340944.0,ns,290550
Performance,Trie,re/2,,,25994227.0,ns,302172
Performance,Trie,re/2,,,28370051.0,ns,313794
Performance,Trie,re/2,,,32448266.0,ns,325416
Performance,Trie,re/2,,,38230219.0,ns,337038
Performance,Trie,re/2,,,39021357.0,ns,348660
Performance,Trie,re/2,,,36664824.0,ns,360282
Performance,Trie,re/2,,,30658829.0,ns,371904
Performance,Trie,re/2,,,31293815.0,ns,383526
Performance,Trie,re/2,,,34395656.0,ns,395148
Performance,Trie,re/2,,,33066760.0,ns,406770
Performance,Trie,re/2,,,34640588.0,ns,418392
Performance,Trie,re/2,,,34944263.0,ns,430014
Performance,Trie,re/2,,,35678884.0,ns,441636
Performance,Trie,re/2,,,37783508.0,ns,453258
Performance,Trie,re/2,,,37570788.0,ns,464880
Performance,Trie,re/2,,,38973027.0,ns,476502
Performance,Trie,re/2,,,39717209.0,ns,488124
Performance,Trie,re/2,,,40885699.0,ns,499746
Performance,Trie,re/2,,,42140871.0,ns,511368
Performance,Trie,re/2,,,42567445.0,ns,522990
Performance,Trie,re/2,,,43960514.0,ns,534612
Performance,Trie,re/2,,,46822573.0,ns,546234
Performance,Trie,re/2,,,45053899.0,ns,557856
Performance,Trie,re/2,,,46570067.0,ns,569478
Performance,Trie,re/2,,,47205637.0,ns,581100
Performance,Trie,re/2,,,48501258.0,ns,592722
Performance,Trie,re/2,,,49372574.0,ns,604344
Performance,Trie,re/2,,,50191348.0,ns,615966
Performance,Trie,re/2,,,50833795.0,ns,627588
Performance,Trie,re/2,,,52658929.0,ns,639210
Performance,Trie,re/2,,,52988336.0,ns,650832
Performance,Trie,re/2,,,55598025.0,ns,662454
Performance,Trie,re/2,,,54280414.0,ns,674076
Performance,Trie,re/2,,,56254623.0,ns,685698
Performance,Trie,re/2,,,58009063.0,ns,697320
Performance,Trie,re/2,,,59694777.0,ns,708942
Performance,Trie,re/2,,,60994358.0,ns,720564
Performance,Trie,re/2,,,60945997.0,ns,732186
Performance,Trie,re/2,,,61298992.0,ns,743808
Performance,Trie,re/2,,,61379440.0,ns,755430
Performance,Trie,re/2,,,64523033.0,ns,767052
Performance,Trie,re/2,,,63850027.0,ns,778674
Performance,Trie,re/2,,,63728465.0,ns,790296
Performance,Trie,re/2,,,65618722.0,ns,801918
Performance,Trie,re/2,,,66739442.0,ns,813540
Performance,Trie,re/2,,,67169104.0,ns,825162
Performance,Trie,re/2,,,69028260.0,ns,836784
Performance,Trie,re/2,,,70702090.0,ns,848406
Performance,Trie,re/2,,,71101977.0,ns,860028
Performance,Trie,re/2,,,70911664.0,ns,871650
Performance,Trie,re/2,,,72066672.0,ns,883272
Performance,Trie,re/2,,,72474239.0,ns,894894
Performance,Trie,re/2,,,73288278.0,ns,906516
Performance,Trie,re/2,,,75307353.0,ns,918138
Performance,Trie,re/2,,,78767063.0,ns,929760
Performance,Trie,re/2,,,77656042.0,ns,941382
Performance,Trie,re/2,,,77714436.0,ns,953004
Performance,Trie,re/2,,,78379303.0,ns,964626
Performance,Trie,re/2,,,80336827.0,ns,976248
Performance,Trie,re/2,,,80316916.0,ns,987870
Performance,Trie,re/2,,,81286606.0,ns,999492
Performance,Trie,re/2,,,84295497.0,ns,1011114
Performance,Trie,re/2,,,83525347.0,ns,1022736
Performance,Trie,re/2,,,85808998.0,ns,1034358
Performance,Trie,re/2,,,87989472.0,ns,1045980
Performance,Trie,re/2,,,86283781.0,ns,1057602
Performance,Trie,re/2,,,89408747.0,ns,1069224
Performance,Trie,re/2,,,89244702.0,ns,1080846
Performance,Trie,re/2,,,88810265.0,ns,1092468
Performance,Trie,re/2,,,90601731.0,ns,1104090
Performance,Trie,re/2,,,91654843.0,ns,1115712
Performance,Trie,re/2,,,92252737.0,ns,1127334
Performance,Trie,re/2,,,94298575.0,ns,1138956
Performance,Trie,re/2,,,93785463.0,ns,1150578
Performance,Trie,re/2,,,94572297.0,ns,1162200
