group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,sub/3,,,932068.0,ns,8574
Performance,Trie,sub/3,,,2157934.0,ns,17148
Performance,Trie,sub/3,,,2827523.0,ns,25722
Performance,Trie,sub/3,,,3776808.0,ns,34296
Performance,Trie,sub/3,,,4880660.0,ns,42870
Performance,Trie,sub/3,,,5951000.0,ns,51444
Performance,Trie,sub/3,,,6801154.0,ns,60018
Performance,Trie,sub/3,,,7822945.0,ns,68592
Performance,Trie,sub/3,,,8747928.0,ns,77166
Performance,Trie,sub/3,,,9651625.0,ns,85740
Performance,Trie,sub/3,,,10718212.0,ns,94314
Performance,Trie,sub/3,,,11713182.0,ns,102888
Performance,Trie,sub/3,,,12600819.0,ns,111462
Performance,Trie,sub/3,,,13661432.0,ns,120036
Performance,Trie,sub/3,,,14728209.0,ns,128610
Performance,Trie,sub/3,,,15457828.0,ns,137184
Performance,Trie,sub/3,,,16418742.0,ns,145758
Performance,Trie,sub/3,,,17865105.0,ns,154332
Performance,Trie,sub/3,,,18481378.0,ns,162906
Performance,Trie,sub/3,,,19760401.0,ns,171480
Performance,Trie,sub/3,,,20206520.0,ns,180054
Performance,Trie,sub/3,,,21483837.0,ns,188628
Performance,Trie,sub/3,,,22112524.0,ns,197202
Performance,Trie,sub/3,,,23546273.0,ns,205776
Performance,Trie,sub/3,,,24059054.0,ns,214350
Performance,Trie,sub/3,,,25431444.0,ns,222924
Performance,Trie,sub/3,,,26418045.0,ns,231498
Performance,Trie,sub/3,,,27612478.0,ns,240072
Performance,Trie,sub/3,,,28293706.0,ns,248646
Performance,Trie,sub/3,,,29221798.0,ns,257220
Performance,Trie,sub/3,,,32380846.0,ns,265794
Performance,Trie,sub/3,,,31474002.0,ns,274368
Performance,Trie,sub/3,,,32362792.0,ns,282942
Performance,Trie,sub/3,,,33147249.0,ns,291516
Performance,Trie,sub/3,,,34227431.0,ns,300090
Performance,Trie,sub/3,,,34802610.0,ns,308664
Performance,Trie,sub/3,,,36259335.0,ns,317238
Performance,Trie,sub/3,,,36901213.0,ns,325812
Performance,Trie,sub/3,,,38510660.0,ns,334386
Performance,Trie,sub/3,,,39260493.0,ns,342960
Performance,Trie,sub/3,,,40493139.0,ns,351534
Performance,Trie,sub/3,,,41306378.0,ns,360108
Performance,Trie,sub/3,,,42053900.0,ns,368682
Performance,Trie,sub/3,,,42823969.0,ns,377256
Performance,Trie,sub/3,,,45801137.0,ns,385830
Performance,Trie,sub/3,,,44428281.0,ns,394404
Performance,Trie,sub/3,,,45484368.0,ns,402978
Performance,Trie,sub/3,,,46729434.0,ns,411552
Performance,Trie,sub/3,,,47573553.0,ns,420126
Performance,Trie,sub/3,,,48539446.0,ns,428700
Performance,Trie,sub/3,,,49248403.0,ns,437274
Performance,Trie,sub/3,,,50678493.0,ns,445848
Performance,Trie,sub/3,,,50583317.0,ns,454422
Performance,Trie,sub/3,,,52163027.0,ns,462996
Performance,Trie,sub/3,,,55783829.0,ns,471570
Performance,Trie,sub/3,,,55302337.0,ns,480144
Performance,Trie,sub/3,,,61952992.0,ns,488718
Performance,Trie,sub/3,,,58859089.0,ns,497292
Performance,Trie,sub/3,,,57093329.0,ns,505866
Performance,Trie,sub/3,,,58059664.0,ns,514440
Performance,Trie,sub/3,,,58934230.0,ns,523014
Performance,Trie,sub/3,,,60130992.0,ns,531588
Performance,Trie,sub/3,,,60197520.0,ns,540162
Performance,Trie,sub/3,,,64750231.0,ns,548736
Performance,Trie,sub/3,,,63781569.0,ns,557310
Performance,Trie,sub/3,,,63758668.0,ns,565884
Performance,Trie,sub/3,,,64951911.0,ns,574458
Performance,Trie,sub/3,,,67905085.0,ns,583032
Performance,Trie,sub/3,,,69502647.0,ns,591606
Performance,Trie,sub/3,,,68093624.0,ns,600180
Performance,Trie,sub/3,,,72814719.0,ns,608754
Performance,Trie,sub/3,,,71160423.0,ns,617328
Performance,Trie,sub/3,,,71546957.0,ns,625902
Performance,Trie,sub/3,,,72990381.0,ns,634476
Performance,Trie,sub/3,,,75647862.0,ns,643050
Performance,Trie,sub/3,,,74618372.0,ns,651624
Performance,Trie,sub/3,,,74960740.0,ns,660198
Performance,Trie,sub/3,,,78624066.0,ns,668772
Performance,Trie,sub/3,,,76837540.0,ns,677346
Performance,Trie,sub/3,,,77225658.0,ns,685920
Performance,Trie,sub/3,,,78324119.0,ns,694494
Performance,Trie,sub/3,,,79423854.0,ns,703068
Performance,Trie,sub/3,,,81161065.0,ns,711642
Performance,Trie,sub/3,,,83405039.0,ns,720216
Performance,Trie,sub/3,,,83479713.0,ns,728790
Performance,Trie,sub/3,,,85616558.0,ns,737364
Performance,Trie,sub/3,,,85339483.0,ns,745938
Performance,Trie,sub/3,,,86182049.0,ns,754512
Performance,Trie,sub/3,,,86566390.0,ns,763086
Performance,Trie,sub/3,,,90171608.0,ns,771660
Performance,Trie,sub/3,,,88193106.0,ns,780234
Performance,Trie,sub/3,,,89702565.0,ns,788808
Performance,Trie,sub/3,,,90095128.0,ns,797382
Performance,Trie,sub/3,,,92647754.0,ns,805956
Performance,Trie,sub/3,,,93054623.0,ns,814530
Performance,Trie,sub/3,,,96184872.0,ns,823104
Performance,Trie,sub/3,,,95864334.0,ns,831678
Performance,Trie,sub/3,,,97428228.0,ns,840252
Performance,Trie,sub/3,,,95985070.0,ns,848826
Performance,Trie,sub/3,,,96783673.0,ns,857400
