group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,trans/5,,,1140082.0,ns,4044
Performance,Trie,trans/5,,,1936416.0,ns,8088
Performance,Trie,trans/5,,,2985861.0,ns,12132
Performance,Trie,trans/5,,,3872779.0,ns,16176
Performance,Trie,trans/5,,,4840163.0,ns,20220
Performance,Trie,trans/5,,,5811368.0,ns,24264
Performance,Trie,trans/5,,,6866998.0,ns,28308
Performance,Trie,trans/5,,,8277330.0,ns,32352
Performance,Trie,trans/5,,,9083825.0,ns,36396
Performance,Trie,trans/5,,,9809945.0,ns,40440
Performance,Trie,trans/5,,,10852664.0,ns,44484
Performance,Trie,trans/5,,,11792484.0,ns,48528
Performance,Trie,trans/5,,,12731783.0,ns,52572
Performance,Trie,trans/5,,,13611386.0,ns,56616
Performance,Trie,trans/5,,,14408356.0,ns,60660
Performance,Trie,trans/5,,,15816025.0,ns,64704
Performance,Trie,trans/5,,,16583580.0,ns,68748
Performance,Trie,trans/5,,,19203963.0,ns,72792
Performance,Trie,trans/5,,,19412969.0,ns,76836
Performance,Trie,trans/5,,,21137402.0,ns,80880
Performance,Trie,trans/5,,,20809099.0,ns,84924
Performance,Trie,trans/5,,,21853319.0,ns,88968
Performance,Trie,trans/5,,,22795467.0,ns,93012
Performance,Trie,trans/5,,,23725484.0,ns,97056
Performance,Trie,trans/5,,,24195544.0,ns,101100
Performance,Trie,trans/5,,,25832568.0,ns,105144
Performance,Trie,trans/5,,,27780756.0,ns,109188
Performance,Trie,trans/5,,,32562598.0,ns,113232
Performance,Trie,trans/5,,,34266716.0,ns,117276
Performance,Trie,trans/5,,,29785246.0,ns,121320
Performance,Trie,trans/5,,,30722073.0,ns,125364
Performance,Trie,trans/5,,,31842877.0,ns,129408
Performance,Trie,trans/5,,,32672544.0,ns,133452
Performance,Trie,trans/5,,,32804828.0,ns,137496
Performance,Trie,trans/5,,,34227496.0,ns,141540
Performance,Trie,trans/5,,,35489202.0,ns,145584
Performance,Trie,trans/5,,,36861112.0,ns,149628
Performance,Trie,trans/5,,,38586826.0,ns,153672
Performance,Trie,trans/5,,,38595308.0,ns,157716
Performance,Trie,trans/5,,,38871809.0,ns,161760
Performance,Trie,trans/5,,,39616211.0,ns,165804
Performance,Trie,trans/5,,,41479566.0,ns,169848
Performance,Trie,trans/5,,,42284344.0,ns,173892
Performance,Trie,trans/5,,,43128908.0,ns,177936
Performance,Trie,trans/5,,,44176737.0,ns,181980
Performance,Trie,trans/5,,,44743677.0,ns,186024
Performance,Trie,trans/5,,,46522795.0,ns,190068
Performance,Trie,trans/5,,,47062686.0,ns,194112
Performance,Trie,trans/5,,,49835837.0,ns,198156
Performance,Trie,trans/5,,,49067320.0,ns,202200
Performance,Trie,trans/5,,,49733526.0,ns,206244
Performance,Trie,trans/5,,,51286350.0,ns,210288
Performance,Trie,trans/5,,,51946342.0,ns,214332
Performance,Trie,trans/5,,,52651262.0,ns,218376
Performance,Trie,trans/5,,,53734051.0,ns,222420
Performance,Trie,trans/5,,,54921373.0,ns,226464
Performance,Trie,trans/5,,,55980165.0,ns,230508
Performance,Trie,trans/5,,,56574268.0,ns,234552
Performance,Trie,trans/5,,,59584181.0,ns,238596
Performance,Trie,trans/5,,,59207123.0,ns,242640
Performance,Trie,trans/5,,,59427506.0,ns,246684
Performance,Trie,trans/5,,,60416194.0,ns,250728
Performance,Trie,trans/5,,,61625824.0,ns,254772
Performance,Trie,trans/5,,,62897269.0,ns,258816
Performance,Trie,trans/5,,,63308146.0,ns,262860
Performance,Trie,trans/5,,,64399687.0,ns,266904
Performance,Trie,trans/5,,,67303672.0,ns,270948
Performance,Trie,trans/5,,,66281197.0,ns,274992
Performance,Trie,trans/5,,,68271595.0,ns,279036
Performance,Trie,trans/5,,,68479465.0,ns,283080
Performance,Trie,trans/5,,,69281522.0,ns,287124
Performance,Trie,trans/5,,,70643778.0,ns,291168
Performance,Trie,trans/5,,,71275074.0,ns,295212
Performance,Trie,trans/5,,,73558193.0,ns,299256
Performance,Trie,trans/5,,,73419145.0,ns,303300
Performance,Trie,trans/5,,,74147818.0,ns,307344
Performance,Trie,trans/5,,,74717784.0,ns,311388
Performance,Trie,trans/5,,,76626531.0,ns,315432
Performance,Trie,trans/5,,,77497091.0,ns,319476
Performance,Trie,trans/5,,,79032950.0,ns,323520
Performance,Trie,trans/5,,,80697007.0,ns,327564
Performance,Trie,trans/5,,,79375336.0,ns,331608
Performance,Trie,trans/5,,,81262234.0,ns,335652
Performance,Trie,trans/5,,,81569209.0,ns,339696
Performance,Trie,trans/5,,,82947786.0,ns,343740
Performance,Trie,trans/5,,,83936251.0,ns,347784
Performance,Trie,trans/5,,,86728283.0,ns,351828
Performance,Trie,trans/5,,,85930902.0,ns,355872
Performance,Trie,trans/5,,,86468058.0,ns,359916
Performance,Trie,trans/5,,,87415631.0,ns,363960
Performance,Trie,trans/5,,,90089658.0,ns,368004
Performance,Trie,trans/5,,,90038482.0,ns,372048
Performance,Trie,trans/5,,,92058642.0,ns,376092
Performance,Trie,trans/5,,,92894486.0,ns,380136
Performance,Trie,trans/5,,,92933466.0,ns,384180
Performance,Trie,trans/5,,,93231373.0,ns,388224
Performance,Trie,trans/5,,,95447618.0,ns,392268
Performance,Trie,trans/5,,,97619914.0,ns,396312
Performance,Trie,trans/5,,,143604377.0,ns,400356
Performance,Trie,trans/5,,,114047444.0,ns,404400
