group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Performance,Trie,un/2,,,931149.0,ns,11883
Performance,Trie,un/2,,,1864112.0,ns,23766
Performance,Trie,un/2,,,3000374.0,ns,35649
Performance,Trie,un/2,,,3814076.0,ns,47532
Performance,Trie,un/2,,,4948111.0,ns,59415
Performance,Trie,un/2,,,7367265.0,ns,71298
Performance,Trie,un/2,,,6911924.0,ns,83181
Performance,Trie,un/2,,,8273566.0,ns,95064
Performance,Trie,un/2,,,8630163.0,ns,106947
Performance,Trie,un/2,,,9835148.0,ns,118830
Performance,Trie,un/2,,,10727891.0,ns,130713
Performance,Trie,un/2,,,11630986.0,ns,142596
Performance,Trie,un/2,,,12867146.0,ns,154479
Performance,Trie,un/2,,,13703893.0,ns,166362
Performance,Trie,un/2,,,14458500.0,ns,178245
Performance,Trie,un/2,,,15612825.0,ns,190128
Performance,Trie,un/2,,,16812461.0,ns,202011
Performance,Trie,un/2,,,17564804.0,ns,213894
Performance,Trie,un/2,,,17929606.0,ns,225777
Performance,Trie,un/2,,,19442040.0,ns,237660
Performance,Trie,un/2,,,20703288.0,ns,249543
Performance,Trie,un/2,,,23041990.0,ns,261426
Performance,Trie,un/2,,,22753799.0,ns,273309
Performance,Trie,un/2,,,23285918.0,ns,285192
Performance,Trie,un/2,,,24386218.0,ns,297075
Performance,Trie,un/2,,,26783122.0,ns,308958
Performance,Trie,un/2,,,25953367.0,ns,320841
Performance,Trie,un/2,,,27386606.0,ns,332724
Performance,Trie,un/2,,,27613283.0,ns,344607
Performance,Trie,un/2,,,29037354.0,ns,356490
Performance,Trie,un/2,,,30358223.0,ns,368373
Performance,Trie,un/2,,,30737770.0,ns,380256
Performance,Trie,un/2,,,33870728.0,ns,392139
Performance,Trie,un/2,,,33156149.0,ns,404022
Performance,Trie,un/2,,,35147336.0,ns,415905
Performance,Trie,un/2,,,34666006.0,ns,427788
Performance,Trie,un/2,,,36912776.0,ns,439671
Performance,Trie,un/2,,,36709572.0,ns,451554
Performance,Trie,un/2,,,38509886.0,ns,463437
Performance,Trie,un/2,,,38643734.0,ns,475320
Performance,Trie,un/2,,,39476887.0,ns,487203
Performance,Trie,un/2,,,39982783.0,ns,499086
Performance,Trie,un/2,,,42402840.0,ns,510969
Performance,Trie,un/2,,,43198260.0,ns,522852
Performance,Trie,un/2,,,43140394.0,ns,534735
Performance,Trie,un/2,,,47820368.0,ns,546618
Performance,Trie,un/2,,,48118019.0,ns,558501
Performance,Trie,un/2,,,48283169.0,ns,570384
Performance,Trie,un/2,,,47696036.0,ns,582267
Performance,Trie,un/2,,,48567500.0,ns,594150
Performance,Trie,un/2,,,49798777.0,ns,606033
Performance,Trie,un/2,,,49842124.0,ns,617916
Performance,Trie,un/2,,,52006850.0,ns,629799
Performance,Trie,un/2,,,52446309.0,ns,641682
Performance,Trie,un/2,,,52465277.0,ns,653565
Performance,Trie,un/2,,,56624082.0,ns,665448
Performance,Trie,un/2,,,54282891.0,ns,677331
Performance,Trie,un/2,,,57160614.0,ns,689214
Performance,Trie,un/2,,,57345170.0,ns,701097
Performance,Trie,un/2,,,58191563.0,ns,712980
Performance,Trie,un/2,,,59824838.0,ns,724863
Performance,Trie,un/2,,,60960643.0,ns,736746
Performance,Trie,un/2,,,60298827.0,ns,748629
Performance,Trie,un/2,,,65478865.0,ns,760512
Performance,Trie,un/2,,,63592471.0,ns,772395
Performance,Trie,un/2,,,63936220.0,ns,784278
Performance,Trie,un/2,,,66011207.0,ns,796161
Performance,Trie,un/2,,,65174199.0,ns,808044
Performance,Trie,un/2,,,68714055.0,ns,819927
Performance,Trie,un/2,,,67522895.0,ns,831810
Performance,Trie,un/2,,,69803989.0,ns,843693
Performance,Trie,un/2,,,72392561.0,ns,855576
Performance,Trie,un/2,,,70575745.0,ns,867459
Performance,Trie,un/2,,,71185463.0,ns,879342
Performance,Trie,un/2,,,73816167.0,ns,891225
Performance,Trie,un/2,,,78543226.0,ns,903108
Performance,Trie,un/2,,,74764205.0,ns,914991
Performance,Trie,un/2,,,75236158.0,ns,926874
Performance,Trie,un/2,,,78426363.0,ns,938757
Performance,Trie,un/2,,,77446271.0,ns,950640
Performance,Trie,un/2,,,79880805.0,ns,962523
Performance,Trie,un/2,,,82319266.0,ns,974406
Performance,Trie,un/2,,,81190473.0,ns,986289
Performance,Trie,un/2,,,81553527.0,ns,998172
Performance,Trie,un/2,,,85327071.0,ns,1010055
Performance,Trie,un/2,,,83060283.0,ns,1021938
Performance,Trie,un/2,,,84020378.0,ns,1033821
Performance,Trie,un/2,,,83339738.0,ns,1045704
Performance,Trie,un/2,,,85257153.0,ns,1057587
Performance,Trie,un/2,,,88079595.0,ns,1069470
Performance,Trie,un/2,,,89854087.0,ns,1081353
Performance,Trie,un/2,,,88778074.0,ns,1093236
Performance,Trie,un/2,,,89631420.0,ns,1105119
Performance,Trie,un/2,,,93277461.0,ns,1117002
Performance,Trie,un/2,,,98924755.0,ns,1128885
Performance,Trie,un/2,,,96209894.0,ns,1140768
Performance,Trie,un/2,,,95767972.0,ns,1152651
Performance,Trie,un/2,,,95001818.0,ns,1164534
Performance,Trie,un/2,,,96840630.0,ns,1176417
Performance,Trie,un/2,,,101891169.0,ns,1188300
